9999999999998,0.426,Amol,Iran,36.17N,51.71E
1903-02-01,3.2680000000000002,0.9079999999999999,Amol,Iran,36.17N,51.71E
1903-03-01,2.422,1.3319999999999999,Amol,Iran,36.17N,51.71E
1903-04-01,11.272,0.41100000000000003,Amol,Iran,36.17N,51.71E
1903-05-01,17.698,0.579,Amol,Iran,36.17N,51.71E
1903-06-01,22.525,0.8220000000000001,Amol,Iran,36.17N,51.71E
1903-07-01,24.58,0.8590000000000001,Amol,Iran,36.17N,51.71E
1903-08-01,24.677,0.6459999999999999,Amol,Iran,36.17N,51.71E
1903-09-01,19.791,1.068,Amol,Iran,36.17N,51.71E
1903-10-01,15.273,0.642,Amol,Iran,36.17N,51.71E
1903-11-01,7.575999999999999,0.972,Amol,Iran,36.17N,51.71E
1903-12-01,2.955,0.725,Amol,Iran,36.17N,51.71E
1904-01-01,-2.952,1.165,Amol,Iran,36.17N,51.71E
1904-02-01,4.888999999999999,1.218,Amol,Iran,36.17N,51.71E
1904-03-01,6.978,0.66,Amol,Iran,36.17N,51.71E
1904-04-01,10.276,0.7290000000000001,Amol,Iran,36.17N,51.71E
1904-05-01,16.727,0.594,Amol,Iran,36.17N,51.71E
1904-06-01,21.377,0.609,Amol,Iran,36.17N,51.71E
1904-07-01,24.749000000000002,0.7070000000000001,Amol,Iran,36.17N,51.71E
1904-08-01,24.191,0.6920000000000001,Amol,Iran,36.17N,51.71E
1904-09-01,20.108,0.527,Amol,Iran,36.17N,51.71E
1904-10-01,13.625,0.358,Amol,Iran,36.17N,51.71E
1904-11-01,10.595999999999998,0.763,Amol,Iran,36.17N,51.71E
1904-12-01,3.25,0.9359999999999999,Amol,Iran,36.17N,51.71E
1905-01-01,0.00199999999999978,0.873,Amol,Iran,36.17N,51.71E
1905-02-01,0.5739999999999998,0.764,Amol,Iran,36.17N,51.71E
1905-03-01,3.954,1.318,Amol,Iran,36.17N,51.71E
1905-04-01,11.402000000000001,0.564,Amol,Iran,36.17N,51.71E
1905-05-01,15.842,0.66,Amol,Iran,36.17N,51.71E
1905-06-01,22.506,0.643,Amol,Iran,36.17N,51.71E
1905-07-01,24.452,1.0,Amol,Iran,36.17N,51.71E
1905-08-01,23.835,0.688,Amol,Iran,36.17N,51.71E
1905-09-01,20.794,0.684,Amol,Iran,36.17N,51.71E
1905-10-01,17.829,0.705,Amol,Iran,36.17N,51.71E
1905-11-01,9.925999999999998,0.5589999999999999,Amol,Iran,36.17N,51.71E
1905-12-01,2.875,0.716,Amol,Iran,36.17N,51.71E
1906-01-01,0.1519999999999999,1.097,Amol,Iran,36.17N,51.71E
1906-02-01,2.212,0.574,Amol,Iran,36.17N,51.71E
1906-03-01,6.4049999999999985,0.48200000000000004,Amol,Iran,36.17N,51.71E
1906-04-01,9.323,0.7829999999999999,Amol,Iran,36.17N,51.71E
1906-05-01,17.423000000000002,0.904,Amol,Iran,36.17N,51.71E
1906-06-01,22.451999999999998,0.816,Amol,Iran,36.17N,51.71E
1906-07-01,24.346,0.413,Amol,Iran,36.17N,51.71E
1906-08-01,23.606,1.177,Amol,Iran,36.17N,51.71E
1906-09-01,18.916,0.887,Amol,Iran,36.17N,51.71E
1906-10-01,15.618,0.539,Amol,Iran,36.17N,51.71E
1906-11-01,9.15,1.5419999999999998,Amol,Iran,36.17N,51.71E
1906-12-01,5.590999999999998,0.897,Amol,Iran,36.17N,51.71E
1907-01-01,2.424,1.472,Amol,Iran,36.17N,51.71E
1907-02-01,1.418,0.7659999999999999,Amol,Iran,36.17N,51.71E
1907-03-01,5.832999999999999,0.498,Amol,Iran,36.17N,51.71E
1907-04-01,11.512,1.2670000000000001,Amol,Iran,36.17N,51.71E
1907-05-01,15.857999999999999,2.093,Amol,Iran,36.17N,51.71E
1907-06-01,20.950000000000006,1.182,Amol,Iran,36.17N,51.71E
1907-07-01,24.524,2.083,Amol,Iran,36.17N,51.71E
1907-08-01,23.701,0.43700000000000006,Amol,Iran,36.17N,51.71E
1907-09-01,19.601,1.183,Amol,Iran,36.17N,51.71E
1907-10-01,11.714,0.731,Amol,Iran,36.17N,51.71E
1907-11-01,6.597,1.232,Amol,Iran,36.17N,51.71E
1907-12-01,3.9930000000000003,0.622,Amol,Iran,36.17N,51.71E
1908-01-01,1.38,1.0959999999999999,Amol,Iran,36.17N,51.71E
1908-02-01,2.9760000000000004,1.173,Amol,Iran,36.17N,51.71E
1908-03-01,5.486000000000001,0.54,Amol,Iran,36.17N,51.71E
1908-04-01,10.872,1.462,Amol,Iran,36.17N,51.71E
1908-05-01,16.169,1.291,Amol,Iran,36.17N,51.71E
1908-06-01,22.364,0.836,Amol,Iran,36.17N,51.71E
1908-07-01,25.416,1.9709999999999999,Amol,Iran,36.17N,51.71E
1908-08-01,25.178,0.732,Amol,Iran,36.17N,51.71E
1908-09-01,21.252,0.586,Amol,Iran,36.17N,51.71E
1908-10-01,13.182,0.785,Amol,Iran,36.17N,51.71E
1908-11-01,9.125,0.774,Amol,Iran,36.17N,51.71E
1908-12-01,3.338,1.127,Amol,Iran,36.17N,51.71E
1909-01-01,-0.6840000000000002,0.654,Amol,Iran,36.17N,51.71E
1909-02-01,3.728,0.633,Amol,Iran,36.17N,51.71E
1909-03-01,7.818,0.401,Amol,Iran,36.17N,51.71E
1909-04-01,11.083,1.452,Amol,Iran,36.17N,51.71E
1909-05-01,17.94,0.934,Amol,Iran,36.17N,51.71E
1909-06-01,21.592,1.034,Amol,Iran,36.17N,51.71E
1909-07-01,24.373,1.964,Amol,Iran,36.17N,51.71E
1909-08-01,24.43,0.8190000000000001,Amol,Iran,36.17N,51.71E
1909-09-01,21.616,0.635,Amol,Iran,36.17N,51.71E
1909-10-01,15.139,0.887,Amol,Iran,36.17N,51.71E
1909-11-01,12.088,0.48700000000000004,Amol,Iran,36.17N,51.71E
