4,4.599,Baranagar,India,23.31N,88.25E
1817-02-01,20.329,3.1289999999999996,Baranagar,India,23.31N,88.25E
1817-03-01,24.737,2.112,Baranagar,India,23.31N,88.25E
1817-04-01,29.717,2.026,Baranagar,India,23.31N,88.25E
1817-05-01,28.921,1.665,Baranagar,India,23.31N,88.25E
1817-06-01,28.001,1.476,Baranagar,India,23.31N,88.25E
1817-07-01,27.752,1.695,Baranagar,India,23.31N,88.25E
1817-08-01,28.07,1.46,Baranagar,India,23.31N,88.25E
1817-09-01,26.46,3.138,Baranagar,India,23.31N,88.25E
1817-10-01,25.295,2.7969999999999997,Baranagar,India,23.31N,88.25E
1817-11-01,22.208000000000002,2.412,Baranagar,India,23.31N,88.25E
1817-12-01,17.961000000000006,3.033,Baranagar,India,23.31N,88.25E
1818-01-01,17.578000000000007,3.4760000000000004,Baranagar,India,23.31N,88.25E
1818-02-01,20.446,1.3459999999999999,Baranagar,India,23.31N,88.25E
1818-03-01,25.233,2.6430000000000002,Baranagar,India,23.31N,88.25E
1818-04-01,29.136999999999997,6.31,Baranagar,India,23.31N,88.25E
1818-05-01,30.245,3.7760000000000002,Baranagar,India,23.31N,88.25E
1818-06-01,28.961,4.806,Baranagar,India,23.31N,88.25E
1818-07-01,27.267,3.082,Baranagar,India,23.31N,88.25E
1818-08-01,27.706,0.887,Baranagar,India,23.31N,88.25E
1818-09-01,26.009,1.464,Baranagar,India,23.31N,88.25E
1818-10-01,25.104,2.21,Baranagar,India,23.31N,88.25E
1818-11-01,21.385,4.928,Baranagar,India,23.31N,88.25E
1818-12-01,17.795,1.4280000000000002,Baranagar,India,23.31N,88.25E
1819-01-01,15.253000000000002,2.77,Baranagar,India,23.31N,88.25E
1819-02-01,19.524,3.128,Baranagar,India,23.31N,88.25E
1819-03-01,25.925,7.781000000000001,Baranagar,India,23.31N,88.25E
1819-04-01,27.865,1.604,Baranagar,India,23.31N,88.25E
1819-05-01,29.375,1.871,Baranagar,India,23.31N,88.25E
