999997,0.253,Bettiah,India,26.52N,84.18E
1944-05-01,32.677,0.389,Bettiah,India,26.52N,84.18E
1944-06-01,31.041,0.289,Bettiah,India,26.52N,84.18E
1944-07-01,29.366000000000003,0.38799999999999996,Bettiah,India,26.52N,84.18E
1944-08-01,28.97,0.294,Bettiah,India,26.52N,84.18E
1944-09-01,28.436999999999998,0.401,Bettiah,India,26.52N,84.18E
1944-10-01,25.275,0.27399999999999997,Bettiah,India,26.52N,84.18E
1944-11-01,20.941999999999997,0.517,Bettiah,India,26.52N,84.18E
1944-12-01,17.487000000000002,0.708,Bettiah,India,26.52N,84.18E
1945-01-01,14.488,0.266,Bettiah,India,26.52N,84.18E
1945-02-01,16.959999999999994,0.524,Bettiah,India,26.52N,84.18E
1945-03-01,24.096,0.524,Bettiah,India,26.52N,84.18E
1945-04-01,27.070999999999998,0.33299999999999996,Bettiah,India,26.52N,84.18E
1945-05-01,30.714000000000002,0.564,Bettiah,India,26.52N,84.18E
1945-06-01,31.897,0.456,Bettiah,India,26.52N,84.18E
1945-07-01,29.98,0.255,Bettiah,India,26.52N,84.18E
1945-08-01,29.468000000000004,0.294,Bettiah,India,26.52N,84.18E
1945-09-01,28.666,0.187,Bettiah,India,26.52N,84.18E
1945-10-01,24.761999999999997,0.228,Bettiah,India,26.52N,84.18E
1945-11-01,20.477,0.46,Bettiah,India,26.52N,84.18E
1945-12-01,15.066000000000004,0.42100000000000004,Bettiah,India,26.52N,84.18E
1946-01-01,15.844000000000001,0.331,Bettiah,India,26.52N,84.18E
1946-02-01,19.815,0.31,Bettiah,India,26.52N,84.18E
1946-03-01,23.675,0.473,Bettiah,India,26.52N,84.18E
1946-04-01,27.283,0.41100000000000003,Bettiah,India,26.52N,84.18E
1946-05-01,29.843000000000004,0.6709999999999999,Bettiah,India,26.52N,84.18E
1946-06-01,30.42,0.33,Bettiah,India,26.52N,84.18E
1946-07-01,28.982000000000006,0.284,Bettiah,India,26.52N,84.18E
1946-08-01,29.395,0.24600000000000002,Bettiah,India,26.52N,84.18E
1946-09-01,28.711,0.15,Bettiah,India,26.52N,84.18E
1946-10-01,25.777,0.19699999999999998,Bettiah,India,26.52N,84.18E
1946-11-01,20.968000000000004,0.39899999999999997,Bettiah,India,26.52N,84.18E
1946-12-01,17.473000000000006,0.625,Bettiah,India,26.52N,84.18E
1947-01-01,15.282,0.342,Bettiah,India,26.52N,84.18E
