03,0.321,Brunswick,Germany,52.24N,10.51E
1930-03-01,4.25,0.28,Brunswick,Germany,52.24N,10.51E
1930-04-01,8.25,0.22699999999999998,Brunswick,Germany,52.24N,10.51E
1930-05-01,11.748,0.21,Brunswick,Germany,52.24N,10.51E
1930-06-01,18.15,0.23399999999999999,Brunswick,Germany,52.24N,10.51E
1930-07-01,16.684,0.301,Brunswick,Germany,52.24N,10.51E
1930-08-01,16.369999999999994,0.195,Brunswick,Germany,52.24N,10.51E
1930-09-01,13.47,0.215,Brunswick,Germany,52.24N,10.51E
1930-10-01,9.152999999999999,0.214,Brunswick,Germany,52.24N,10.51E
1930-11-01,6.300000000000002,0.271,Brunswick,Germany,52.24N,10.51E
1930-12-01,1.109,0.37799999999999995,Brunswick,Germany,52.24N,10.51E
1931-01-01,0.767,0.374,Brunswick,Germany,52.24N,10.51E
1931-02-01,-0.659,0.31,Brunswick,Germany,52.24N,10.51E
1931-03-01,0.617,0.214,Brunswick,Germany,52.24N,10.51E
1931-04-01,5.707999999999999,0.21600000000000003,Brunswick,Germany,52.24N,10.51E
1931-05-01,15.329,0.253,Brunswick,Germany,52.24N,10.51E
1931-06-01,15.569,0.228,Brunswick,Germany,52.24N,10.51E
1931-07-01,17.211,0.27,Brunswick,Germany,52.24N,10.51E
1931-08-01,15.999,0.268,Brunswick,Germany,52.24N,10.51E
1931-09-01,11.009,0.23399999999999999,Brunswick,Germany,52.24N,10.51E
1931-10-01,7.897,0.26899999999999996,Brunswick,Germany,52.24N,10.51E
1931-11-01,5.332999999999999,0.245,Brunswick,Germany,52.24N,10.51E
1931-12-01,1.0699999999999998,0.32899999999999996,Brunswick,Germany,52.24N,10.51E
1932-01-01,2.459,0.397,Brunswick,Germany,52.24N,10.51E
1932-02-01,-0.991,0.545,Brunswick,Germany,52.24N,10.51E
1932-03-01,1.0959999999999999,0.304,Brunswick,Germany,52.24N,10.51E
1932-04-01,7.098999999999998,0.27699999999999997,Brunswick,Germany,52.24N,10.51E
1932-05-01,13.062000000000001,0.253,Brunswick,Germany,52.24N,10.51E
1932-06-01,14.6,0.29,Brunswick,Germany,52.24N,10.51E
1932-07-01,18.652,0.474,Brunswick,Germany,52.24N,10.51E
1932-08-01,19.179000000000002,0.35700000000000004,Brunswick,Germany,52.24N,10.51E
1932-09-01,15.003,0.28600000000000003,Brunswick,Germany,52.24N,10.51E
1932-10-01,8.846,0.345,Brunswick,Germany,52.24N,10.51E
1932-11-01,4.6739999999999995,0.218,Brunswick,Germany,52.24N,10.51E
1932-12-01,1.577,0.32799999999999996,Brunswick,Germany,52.24N,10.51E
1933-01-01,-2.0700000000000003,0.385,Brunswick,Germany,52.24N,10.51E
1933-02-01,0.528,0.217,Brunswick,Germany,52.24N,10.51E
1933-03-01,5.7349999999999985,0.292,Brunswick,Germany,52.24N,10.51E
