000000000002,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1934-08-01,17.285,0.28800000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1934-09-01,16.855999999999998,0.301,Chimalhuacán,Mexico,20.09N,98.96W
1934-10-01,15.048,0.354,Chimalhuacán,Mexico,20.09N,98.96W
1934-11-01,14.014000000000001,0.489,Chimalhuacán,Mexico,20.09N,98.96W
1934-12-01,13.137,0.253,Chimalhuacán,Mexico,20.09N,98.96W
1935-01-01,12.061,0.484,Chimalhuacán,Mexico,20.09N,98.96W
1935-02-01,11.675999999999998,0.474,Chimalhuacán,Mexico,20.09N,98.96W
1935-03-01,15.722000000000001,0.525,Chimalhuacán,Mexico,20.09N,98.96W
1935-04-01,17.62,0.6709999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1935-05-01,18.922,0.363,Chimalhuacán,Mexico,20.09N,98.96W
1935-06-01,17.528000000000002,0.48100000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1935-07-01,17.142,0.29,Chimalhuacán,Mexico,20.09N,98.96W
1935-08-01,17.239,0.29600000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1935-09-01,17.005,0.33899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1935-10-01,15.169,0.365,Chimalhuacán,Mexico,20.09N,98.96W
1935-11-01,14.158,0.395,Chimalhuacán,Mexico,20.09N,98.96W
1935-12-01,12.589,0.342,Chimalhuacán,Mexico,20.09N,98.96W
1936-01-01,13.17,0.42,Chimalhuacán,Mexico,20.09N,98.96W
1936-02-01,14.413,0.462,Chimalhuacán,Mexico,20.09N,98.96W
1936-03-01,16.788,0.275,Chimalhuacán,Mexico,20.09N,98.96W
1936-04-01,16.208,0.5529999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1936-05-01,17.25,0.415,Chimalhuacán,Mexico,20.09N,98.96W
1936-06-01,19.038,0.665,Chimalhuacán,Mexico,20.09N,98.96W
1936-07-01,17.404,0.777,Chimalhuacán,Mexico,20.09N,98.96W
1936-08-01,17.372,0.273,Chimalhuacán,Mexico,20.09N,98.96W
1936-09-01,16.951999999999998,0.382,Chimalhuacán,Mexico,20.09N,98.96W
1936-10-01,15.429,0.25,Chimalhuacán,Mexico,20.09N,98.96W
1936-11-01,13.882,0.703,Chimalhuacán,Mexico,20.09N,98.96W
1936-12-01,12.775,0.217,Chimalhuacán,Mexico,20.09N,98.96W
1937-01-01,14.614999999999998,0.348,Chimalhuacán,Mexico,20.09N,98.96W
1937-02-01,14.88,0.355,Chimalhuacán,Mexico,20.09N,98.96W
1937-03-01,15.575999999999999,0.198,Chimalhuacán,Mexico,20.09N,98.96W
1937-04-01,17.434,0.254,Chimalhuacán,Mexico,20.09N,98.96W
1937-05-01,17.669,0.33,Chimalhuacán,Mexico,20.09N,98.96W
1937-06-01,17.92,0.309,Chimalhuacán,Mexico,20.09N,98.96W
1937-07-01,17.125,0.203,Chimalhuacán,Mexico,20.09N,98.96W
1937-08-01,17.598,0.17,Chimalhuacán,Mexico,20.09N,98.96W
1937-09-01,17.252,0.308,Chimalhuacán,Mexico,20.09N,98.96W
1937-10-01,15.663,0.47,Chimalhuacán,Mexico,20.09N,98.96W
1937-11-01,13.993,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1937-12-01,12.889000000000001,0.254,Chimalhuacán,Mexico,20.09N,98.96W
1938-01-01,12.979000000000001,0.184,Chimalhuacán,Mexico,20.09N,98.96W
1938-02-01,13.422,0.514,Chimalhuacán,Mexico,20.09N,98.96W
1938-03-01,16.89,0.708,Chimalhuacán,Mexico,20.09N,98.96W
1938-04-01,17.204,0.313,Chimalhuacán,Mexico,20.09N,98.96W
1938-05-01,18.631,0.284,Chimalhuacán,Mexico,20.09N,98.96W
1938-06-01,17.613,0.332,Chimalhuacán,Mexico,20.09N,98.96W
1938-07-01,17.333000000000002,0.517,Chimalhuacán,Mexico,20.09N,98.96W
1938-08-01,17.483999999999998,0.34299999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1938-09-01,16.384999999999998,0.322,Chimalhuacán,Mexico,20.09N,98.96W
1938-10-01,15.004000000000001,0.544,Chimalhuacán,Mexico,20.09N,98.96W
1938-11-01,14.095999999999998,0.5489999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1938-12-01,12.067,0.34,Chimalhuacán,Mexico,20.09N,98.96W
1939-01-01,12.762,0.5579999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1939-02-01,14.436,0.8370000000000001,Chimalhuacán,Mexico,20.09N,98.96W
1939-03-01,15.552999999999999,0.632,Chimalhuacán,Mexico,20.09N,98.96W
1939-04-01,16.563,0.5539999999999999,Chimalhuacán,Mexico,20.09N,98.96W
