1,0.684,Chisinau,Moldova,47.42N,29.61E
1901-05-01,15.339,0.498,Chisinau,Moldova,47.42N,29.61E
1901-06-01,21.445,0.5710000000000001,Chisinau,Moldova,47.42N,29.61E
1901-07-01,20.918000000000003,0.555,Chisinau,Moldova,47.42N,29.61E
1901-08-01,20.407,0.677,Chisinau,Moldova,47.42N,29.61E
1901-09-01,14.229000000000001,0.483,Chisinau,Moldova,47.42N,29.61E
1901-10-01,8.968,0.575,Chisinau,Moldova,47.42N,29.61E
1901-11-01,1.7369999999999999,0.632,Chisinau,Moldova,47.42N,29.61E
1901-12-01,2.049,0.408,Chisinau,Moldova,47.42N,29.61E
1902-01-01,0.49200000000000005,0.892,Chisinau,Moldova,47.42N,29.61E
1902-02-01,-0.7520000000000002,0.904,Chisinau,Moldova,47.42N,29.61E
1902-03-01,1.801,0.295,Chisinau,Moldova,47.42N,29.61E
1902-04-01,7.043000000000001,0.435,Chisinau,Moldova,47.42N,29.61E
1902-05-01,12.874,0.43700000000000006,Chisinau,Moldova,47.42N,29.61E
1902-06-01,18.892,0.33,Chisinau,Moldova,47.42N,29.61E
1902-07-01,18.789,0.396,Chisinau,Moldova,47.42N,29.61E
1902-08-01,19.910999999999998,0.44799999999999995,Chisinau,Moldova,47.42N,29.61E
1902-09-01,14.098,0.391,Chisinau,Moldova,47.42N,29.61E
1902-10-01,7.9510000000000005,0.428,Chisinau,Moldova,47.42N,29.61E
1902-11-01,-2.2900000000000005,0.354,Chisinau,Moldova,47.42N,29.61E
1902-12-01,-7.402,0.588,Chisinau,Moldova,47.42N,29.61E
1903-01-01,-4.355,0.5660000000000001,Chisinau,Moldova,47.42N,29.61E
1903-02-01,0.5899999999999999,0.8029999999999999,Chisinau,Moldova,47.42N,29.61E
1903-03-01,4.037,0.532,Chisinau,Moldova,47.42N,29.61E
1903-04-01,9.044,0.331,Chisinau,Moldova,47.42N,29.61E
1903-05-01,15.318,0.301,Chisinau,Moldova,47.42N,29.61E
1903-06-01,19.37,0.431,Chisinau,Moldova,47.42N,29.61E
1903-07-01,20.798000000000002,0.34700000000000003,Chisinau,Moldova,47.42N,29.61E
1903-08-01,20.215999999999998,0.35600000000000004,Chisinau,Moldova,47.42N,29.61E
1903-09-01,16.244,0.506,Chisinau,Moldova,47.42N,29.61E
1903-10-01,9.639,0.324,Chisinau,Moldova,47.42N,29.61E
1903-11-01,4.494,0.529,Chisinau,Moldova,47.42N,29.61E
1903-12-01,-2.266,0.703,Chisinau,Moldova,47.42N,29.61E
1904-01-01,-6.542999999999998,1.077,Chisinau,Moldova,47.42N,29.61E
1904-02-01,0.7689999999999997,0.5529999999999999,Chisinau,Moldova,47.42N,29.61E
1904-03-01,-0.2630000000000001,0.935,Chisinau,Moldova,47.42N,29.61E
1904-04-01,7.374,0.29,Chisinau,Moldova,47.42N,29.61E
1904-05-01,13.726,0.424,Chisinau,Moldova,47.42N,29.61E
1904-06-01,18.317999999999998,0.494,Chisinau,Moldova,47.42N,29.61E
1904-07-01,20.575,0.799,Chisinau,Moldova,47.42N,29.61E
1904-08-01,20.249000000000002,0.659,Chisinau,Moldova,47.42N,29.61E
1904-09-01,14.219000000000001,0.725,Chisinau,Moldova,47.42N,29.61E
1904-10-01,10.134,0.434,Chisinau,Moldova,47.42N,29.61E
1904-11-01,1.6709999999999998,0.541,Chisinau,Moldova,47.42N,29.61E
1904-12-01,-0.04500000000000004,0.735,Chisinau,Moldova,47.42N,29.61E
1905-01-01,-6.856999999999998,0.902,Chisinau,Moldova,47.42N,29.61E
1905-02-01,-2.819,0.598,Chisinau,Moldova,47.42N,29.61E
1905-03-01,0.755,0.363,Chisinau,Moldova,47.42N,29.61E
1905-04-01,7.474,0.44,Chisinau,Moldova,47.42N,29.61E
1905-05-01,15.593,0.344,Chisinau,Moldova,47.42N,29.61E
1905-06-01,19.378,0.45299999999999996,Chisinau,Moldova,47.42N,29.61E
1905-07-01,21.735,0.389,Chisinau,Moldova,47.42N,29.61E
1905-08-01,22.346,0.348,Chisinau,Moldova,47.42N,29.61E
1905-09-01,16.582,0.331,Chisinau,Moldova,47.42N,29.61E
1905-10-01,9.331,0.732,Chisinau,Moldova,47.42N,29.61E
1905-11-01,6.162000000000001,0.45,Chisinau,Moldova,47.42N,29.61E
1905-12-01,-1.956,0.396,Chisinau,Moldova,47.42N,29.61E
1906-01-01,-2.7760000000000002,0.816,Chisinau,Moldova,47.42N,29.61E
1906-02-01,-1.7200000000000002,0.499,Chisinau,Moldova,47.42N,29.61E
1906-03-01,4.915,0.442,Chisinau,Moldova,47.42N,29.61E
1906-04-01,10.088,0.317,Chisinau,Moldova,47.42N,29.61E
1906-05-01,17.159000000000002,0.433,Chisinau,Moldova,47.42N,29.61E
1906-06-01,19.926,0.276,Chisinau,Moldova,47.42N,29.61E
1906-07-01,20.982,0.45399999999999996,Chisinau,Moldova,47.42N,29.61E
1906-08-01,18.579,0.511,Chisinau,Moldova,47.42N,29.61E
1906-09-01,14.255999999999998,0.375,Chisinau,Moldova,47.42N,29.61E
1906-10-01,7.292000000000001,0.391,Chisinau,Moldova,47.42N,29.61E
1906-11-01,5.138999999999999,0.485,Chisinau,Moldova,47.42N,29.61E
1906-12-01,-0.9990000000000001,0.968,Chisinau,Moldova,47.42N,29.61E
1907-01-01,-6.361000000000001,0.5720000000000001,Chisinau,Moldova,47.42N,29.61E
1907-02-01,-6.306,0.608,Chisinau,Moldova,47.42N,29.61E
1907-03-01,-1.2979999999999998,0.722,Chisinau,Moldova,47.42N,29.61E
1907-04-01,6.1450000000000005,0.6509999999999999,Chisinau,Moldova,47.42N,29.61E
1907-05-01,18.432000000000002,0.486,Chisinau,Moldova,47.42N,29.61E
1907-06-01,18.929000000000002,0.355,Chisinau,Moldova,47.42N,29.61E
1907-07-01,20.301,0.433,Chisinau,Moldova,47.42N,29.61E
1907-08-01,19.744,0.302,Chisinau,Moldova,47.42N,29.61E
1907-09-01,15.149000000000001,0.22399999999999998,Chisinau,Moldova,47.42N,29.61E
1907-10-01,11.529000000000002,0.35100000000000003,Chisinau,Moldova,47.42N,29.61E
1907-11-01,-0.18999999999999995,0.384,Chisinau,Moldova,47.42N,29.61E
1907-12-01,-2.146,0.413,Chisinau,Moldova,47.42N,29.61E
1908-01-01,-3.403,0.8,Chisinau,Moldova,47.42N,29.61E
1908-02-01,-0.3730000000000002,0.569,Chisinau,Moldova,47.42N,29.61E
1908-03-01,1.77,0.502,Chisinau,Moldova,47.42N,29.61E
1908-04-01,7.451,0.345,Chisinau,Moldova,47.42N,29.61E
1908-05-01,16.28,0.494,Chisinau,Moldova,47.42N,29.61E
1908-06-01,19.014,0.327,Chisinau,Moldova,47.42N,29.61E
1908-07-01,20.506,0.413,Chisinau,Moldova,47.42N,29.61E
1908-08-01,19.371,0.23800000000000002,Chisinau,Moldova,47.42N,29.61E
1908-09-01,14.47,0.37200000000000005,Chisinau,Moldova,47.42N,29.61E
1908-10-01,7.291,0.344,Chisinau,Moldova,47.42N,29.61E
1908-11-01,-1.7980000000000005,0.31,Chisinau,Moldova,47.42N,29.61E
1908-12-01,-4.551,0.795,Chisinau,Moldova,47.42N,29.61E
1909-01-01,-7.978999999999999,0.7559999999999999,Chisinau,Moldova,47.42N,29.61E
1909-02-01,-7.502999999999999,0.479,Chisinau,Moldova,47.42N,29.61E
1909-03-01,1.022,0.424,Chisinau,Moldova,47.42N,29.61E
1909-04-01,7.32,0.389,Chisinau,Moldova,47.42N,29.61E
1909-05-01,14.646,0.40700000000000003,Chisinau,Moldova,47.42N,29.61E
1909-06-01,18.412,0.42200000000000004,Chisinau,Moldova,47.42N,29.61E
1909-07-01,21.328000000000003,0.457,Chisinau,Moldova,47.42N,29.61E
1909-08-01,21.66,0.295,Chisinau,Moldova,47.42N,29.61E
1909-09-01,19.195,0.305,Chisinau,Moldova,47.42N,29.61E
1909-10-01,11.960999999999999,0.38,Chisinau,Moldova,47.42N,29.61E
