5.79,0.29,Chungho,Taiwan,24.92N,120.59E
1922-07-01,27.732,0.3,Chungho,Taiwan,24.92N,120.59E
1922-08-01,27.189,0.335,Chungho,Taiwan,24.92N,120.59E
1922-09-01,25.616999999999997,0.303,Chungho,Taiwan,24.92N,120.59E
1922-10-01,22.588,0.292,Chungho,Taiwan,24.92N,120.59E
1922-11-01,18.672,0.447,Chungho,Taiwan,24.92N,120.59E
1922-12-01,15.718999999999998,0.235,Chungho,Taiwan,24.92N,120.59E
1923-01-01,14.279000000000002,0.342,Chungho,Taiwan,24.92N,120.59E
1923-02-01,13.22,0.43200000000000005,Chungho,Taiwan,24.92N,120.59E
1923-03-01,16.857999999999997,0.396,Chungho,Taiwan,24.92N,120.59E
1923-04-01,19.77,0.532,Chungho,Taiwan,24.92N,120.59E
1923-05-01,23.410999999999998,0.397,Chungho,Taiwan,24.92N,120.59E
1923-06-01,25.346,0.243,Chungho,Taiwan,24.92N,120.59E
1923-07-01,27.412,0.261,Chungho,Taiwan,24.92N,120.59E
1923-08-01,27.138,0.299,Chungho,Taiwan,24.92N,120.59E
1923-09-01,25.146,0.369,Chungho,Taiwan,24.92N,120.59E
1923-10-01,22.016,0.387,Chungho,Taiwan,24.92N,120.59E
1923-11-01,20.313,0.501,Chungho,Taiwan,24.92N,120.59E
1923-12-01,16.253999999999998,0.49200000000000005,Chungho,Taiwan,24.92N,120.59E
1924-01-01,15.232000000000001,0.302,Chungho,Taiwan,24.92N,120.59E
1924-02-01,14.100999999999999,0.41700000000000004,Chungho,Taiwan,24.92N,120.59E
1924-03-01,15.060999999999998,0.27699999999999997,Chungho,Taiwan,24.92N,120.59E
1924-04-01,19.618,0.308,Chungho,Taiwan,24.92N,120.59E
1924-05-01,24.414,0.402,Chungho,Taiwan,24.92N,120.59E
1924-06-01,24.976999999999997,0.33299999999999996,Chungho,Taiwan,24.92N,120.59E
1924-07-01,27.365,0.18,Chungho,Taiwan,24.92N,120.59E
1924-08-01,27.116999999999997,0.48100000000000004,Chungho,Taiwan,24.92N,120.59E
1924-09-01,25.785,0.154,Chungho,Taiwan,24.92N,120.59E
1924-10-01,23.342,0.22,Chungho,Taiwan,24.92N,120.59E
1924-11-01,18.624000000000002,0.266,Chungho,Taiwan,24.92N,120.59E
1924-12-01,15.297,0.3,Chungho,Taiwan,24.92N,120.59E
1925-01-01,13.687999999999999,0.6,Chungho,Taiwan,24.92N,120.59E
1925-02-01,12.501,0.5,Chungho,Taiwan,24.92N,120.59E
1925-03-01,15.976,0.46399999999999997,Chungho,Taiwan,24.92N,120.59E
1925-04-01,16.862000000000002,0.354,Chungho,Taiwan,24.92N,120.59E
1925-05-01,23.409,0.381,Chungho,Taiwan,24.92N,120.59E
1925-06-01,26.235,0.431,Chungho,Taiwan,24.92N,120.59E
1925-07-01,27.378,0.263,Chungho,Taiwan,24.92N,120.59E
1925-08-01,27.633000000000006,0.22699999999999998,Chungho,Taiwan,24.92N,120.59E
1925-09-01,25.575000000000006,0.23,Chungho,Taiwan,24.92N,120.59E
1925-10-01,21.875,0.335,Chungho,Taiwan,24.92N,120.59E
1925-11-01,20.156,0.375,Chungho,Taiwan,24.92N,120.59E
1925-12-01,15.287,0.457,Chungho,Taiwan,24.92N,120.59E
1926-01-01,14.169,0.386,Chungho,Taiwan,24.92N,120.59E
1926-02-01,14.203,0.203,Chungho,Taiwan,24.92N,120.59E
1926-03-01,15.730999999999998,0.375,Chungho,Taiwan,24.92N,120.59E
1926-04-01,18.3,0.478,Chungho,Taiwan,24.92N,120.59E
1926-05-01,23.256,0.418,Chungho,Taiwan,24.92N,120.59E
1926-06-01,24.471,0.215,Chungho,Taiwan,24.92N,120.59E
1926-07-01,27.963,0.231,Chungho,Taiwan,24.92N,120.59E
1926-08-01,27.999,0.226,Chungho,Taiwan,24.92N,120.59E
1926-09-01,26.871,0.33,Chungho,Taiwan,24.92N,120.59E
1926-10-01,22.261999999999997,0.402,Chungho,Taiwan,24.92N,120.59E
1926-11-01,19.776,0.225,Chungho,Taiwan,24.92N,120.59E
1926-12-01,15.593999999999998,0.33799999999999997,Chungho,Taiwan,24.92N,120.59E
