9999999999,0.47100000000000003,Hangu,China,39.38N,118.61E
1955-02-01,-1.1969999999999998,0.431,Hangu,China,39.38N,118.61E
1955-03-01,1.3129999999999995,0.24600000000000002,Hangu,China,39.38N,118.61E
1955-04-01,11.149000000000001,0.174,Hangu,China,39.38N,118.61E
1955-05-01,18.217,0.302,Hangu,China,39.38N,118.61E
1955-06-01,23.56,0.327,Hangu,China,39.38N,118.61E
1955-07-01,25.668000000000003,0.292,Hangu,China,39.38N,118.61E
1955-08-01,26.06,0.218,Hangu,China,39.38N,118.61E
1955-09-01,20.808000000000003,0.222,Hangu,China,39.38N,118.61E
1955-10-01,11.421,0.13,Hangu,China,39.38N,118.61E
1955-11-01,4.348,0.19899999999999998,Hangu,China,39.38N,118.61E
1955-12-01,-0.5380000000000003,0.33299999999999996,Hangu,China,39.38N,118.61E
1956-01-01,-5.72,0.21,Hangu,China,39.38N,118.61E
1956-02-01,-4.361000000000001,0.223,Hangu,China,39.38N,118.61E
1956-03-01,1.4339999999999995,0.406,Hangu,China,39.38N,118.61E
1956-04-01,11.015,0.318,Hangu,China,39.38N,118.61E
1956-05-01,16.689999999999998,0.445,Hangu,China,39.38N,118.61E
1956-06-01,21.241,0.363,Hangu,China,39.38N,118.61E
1956-07-01,25.648000000000003,0.207,Hangu,China,39.38N,118.61E
1956-08-01,24.535999999999998,0.215,Hangu,China,39.38N,118.61E
1956-09-01,20.948,0.42,Hangu,China,39.38N,118.61E
1956-10-01,12.362,0.247,Hangu,China,39.38N,118.61E
1956-11-01,1.0299999999999998,0.602,Hangu,China,39.38N,118.61E
1956-12-01,-6.3260000000000005,0.493,Hangu,China,39.38N,118.61E
1957-01-01,-6.363,0.42700000000000005,Hangu,China,39.38N,118.61E
1957-02-01,-6.662999999999999,0.32,Hangu,China,39.38N,118.61E
1957-03-01,0.5129999999999999,0.466,Hangu,China,39.38N,118.61E
1957-04-01,11.289000000000001,0.40299999999999997,Hangu,China,39.38N,118.61E
