1.937,0.584,Ilhéus,Brazil,15.27S,39.17W
1922-09-01,22.719,0.48,Ilhéus,Brazil,15.27S,39.17W
1922-10-01,23.737,0.932,Ilhéus,Brazil,15.27S,39.17W
1922-11-01,24.396,0.5660000000000001,Ilhéus,Brazil,15.27S,39.17W
1922-12-01,25.185,0.516,Ilhéus,Brazil,15.27S,39.17W
1923-01-01,25.59,0.655,Ilhéus,Brazil,15.27S,39.17W
1923-02-01,25.279,0.986,Ilhéus,Brazil,15.27S,39.17W
1923-03-01,25.29,0.797,Ilhéus,Brazil,15.27S,39.17W
1923-04-01,24.366999999999997,0.5820000000000001,Ilhéus,Brazil,15.27S,39.17W
1923-05-01,23.448,0.515,Ilhéus,Brazil,15.27S,39.17W
1923-06-01,21.984,0.659,Ilhéus,Brazil,15.27S,39.17W
1923-07-01,20.336,0.8370000000000001,Ilhéus,Brazil,15.27S,39.17W
1923-08-01,21.373,0.56,Ilhéus,Brazil,15.27S,39.17W
1923-09-01,22.264,1.1340000000000001,Ilhéus,Brazil,15.27S,39.17W
1923-10-01,23.673000000000002,0.784,Ilhéus,Brazil,15.27S,39.17W
1923-11-01,24.811,0.578,Ilhéus,Brazil,15.27S,39.17W
1923-12-01,26.033,0.613,Ilhéus,Brazil,15.27S,39.17W
1924-01-01,25.704,0.6990000000000001,Ilhéus,Brazil,15.27S,39.17W
1924-02-01,25.554000000000002,1.641,Ilhéus,Brazil,15.27S,39.17W
1924-03-01,25.553,0.7959999999999999,Ilhéus,Brazil,15.27S,39.17W
1924-04-01,24.875,0.6,Ilhéus,Brazil,15.27S,39.17W
1924-05-01,23.528000000000002,0.536,Ilhéus,Brazil,15.27S,39.17W
1924-06-01,21.791,0.753,Ilhéus,Brazil,15.27S,39.17W
1924-07-01,20.735,0.858,Ilhéus,Brazil,15.27S,39.17W
1924-08-01,20.764,0.951,Ilhéus,Brazil,15.27S,39.17W
1924-09-01,22.46,0.44799999999999995,Ilhéus,Brazil,15.27S,39.17W
1924-10-01,22.959,0.35200000000000004,Ilhéus,Brazil,15.27S,39.17W
1924-11-01,24.385,0.449,Ilhéus,Brazil,15.27S,39.17W
1924-12-01,24.741,0.57,Ilhéus,Brazil,15.27S,39.17W
1925-01-01,24.941,0.631,Ilhéus,Brazil,15.27S,39.17W
1925-02-01,24.997,0.483,Ilhéus,Brazil,15.27S,39.17W
1925-03-01,24.836,0.489,Ilhéus,Brazil,15.27S,39.17W
1925-04-01,24.83,0.547,Ilhéus,Brazil,15.27S,39.17W
1925-05-01,23.774,0.642,Ilhéus,Brazil,15.27S,39.17W
1925-06-01,22.22,0.72,Ilhéus,Brazil,15.27S,39.17W
1925-07-01,21.285,0.983,Ilhéus,Brazil,15.27S,39.17W
1925-08-01,21.866,0.6890000000000001,Ilhéus,Brazil,15.27S,39.17W
1925-09-01,22.656999999999996,1.285,Ilhéus,Brazil,15.27S,39.17W
1925-10-01,23.348000000000003,1.219,Ilhéus,Brazil,15.27S,39.17W
1925-11-01,24.596999999999998,0.72,Ilhéus,Brazil,15.27S,39.17W
1925-12-01,25.275,0.41,Ilhéus,Brazil,15.27S,39.17W
1926-01-01,25.922,0.526,Ilhéus,Brazil,15.27S,39.17W
1926-02-01,25.311,0.441,Ilhéus,Brazil,15.27S,39.17W
1926-03-01,25.116999999999997,0.774,Ilhéus,Brazil,15.27S,39.17W
1926-04-01,24.471,0.513,Ilhéus,Brazil,15.27S,39.17W
1926-05-01,23.064,0.925,Ilhéus,Brazil,15.27S,39.17W
1926-06-01,22.07,0.78,Ilhéus,Brazil,15.27S,39.17W
1926-07-01,20.799,0.5589999999999999,Ilhéus,Brazil,15.27S,39.17W
1926-08-01,21.453000000000003,0.5820000000000001,Ilhéus,Brazil,15.27S,39.17W
1926-09-01,23.101,0.39799999999999996,Ilhéus,Brazil,15.27S,39.17W
1926-10-01,23.875,0.47100000000000003,Ilhéus,Brazil,15.27S,39.17W
1926-11-01,25.052,0.444,Ilhéus,Brazil,15.27S,39.17W
1926-12-01,25.414,0.57,Ilhéus,Brazil,15.27S,39.17W
1927-01-01,25.871,0.826,Ilhéus,Brazil,15.27S,39.17W
1927-02-01,25.426,0.66,Ilhéus,Brazil,15.27S,39.17W
1927-03-01,25.689,1.234,Ilhéus,Brazil,15.27S,39.17W
1927-04-01,24.67,0.45399999999999996,Ilhéus,Brazil,15.27S,39.17W
1927-05-01,23.368000000000002,0.867,Ilhéus,Brazil,15.27S,39.17W
