23.316,3.075,Jamalpur,India,24.92N,86.90E
1804-12-01,16.906,3.083,Jamalpur,India,24.92N,86.90E
1805-01-01,16.996,1.865,Jamalpur,India,24.92N,86.90E
1805-02-01,19.567,2.258,Jamalpur,India,24.92N,86.90E
1805-03-01,25.87,1.7930000000000001,Jamalpur,India,24.92N,86.90E
1805-04-01,29.209,2.24,Jamalpur,India,24.92N,86.90E
1805-05-01,31.333,1.591,Jamalpur,India,24.92N,86.90E
1805-06-01,31.208000000000002,2.274,Jamalpur,India,24.92N,86.90E
1805-07-01,29.297,1.589,Jamalpur,India,24.92N,86.90E
1805-08-01,30.035999999999998,1.198,Jamalpur,India,24.92N,86.90E
1805-09-01,28.614,1.962,Jamalpur,India,24.92N,86.90E
1805-10-01,25.095,1.91,Jamalpur,India,24.92N,86.90E
1805-11-01,21.452,2.424,Jamalpur,India,24.92N,86.90E
1805-12-01,18.548,1.465,Jamalpur,India,24.92N,86.90E
1806-01-01,16.945,1.9280000000000002,Jamalpur,India,24.92N,86.90E
1806-02-01,19.687,2.426,Jamalpur,India,24.92N,86.90E
1806-03-01,24.938,2.085,Jamalpur,India,24.92N,86.90E
1806-04-01,29.51,2.7769999999999997,Jamalpur,India,24.92N,86.90E
1806-05-01,31.394,1.932,Jamalpur,India,24.92N,86.90E
1806-06-01,29.399,1.841,Jamalpur,India,24.92N,86.90E
1806-07-01,29.073,1.4480000000000002,Jamalpur,India,24.92N,86.90E
1806-08-01,29.651,1.5619999999999998,Jamalpur,India,24.92N,86.90E
1806-09-01,29.423,1.847,Jamalpur,India,24.92N,86.90E
1806-10-01,26.008000000000003,1.436,Jamalpur,India,24.92N,86.90E
1806-11-01,21.981,1.7180000000000002,Jamalpur,India,24.92N,86.90E
1806-12-01,18.164,1.984,Jamalpur,India,24.92N,86.90E
1807-01-01,15.630999999999998,2.25,Jamalpur,India,24.92N,86.90E
1807-02-01,19.632,2.85,Jamalpur,India,24.92N,86.90E
1807-03-01,,,Jamalpur,India,24.92N,86.90E
1807-04-01,,,Jamalpur,India,24.92N,86.90E
1807-05-01,29.241,1.891,Jamalpur,India,24.92N,86.90E
1807-06-01,30.731,1.579,Jamalpur,India,24.92N,86.90E
1807-07-01,29.59,1.976,Jamalpur,India,24.92N,86.90E
1807-08-01,29.149,1.729,Jamalpur,India,24.92N,86.90E
1807-09-01,29.175,1.415,Jamalpur,India,24.92N,86.90E
1807-10-01,26.011,1.416,Jamalpur,India,24.92N,86.90E
1807-11-01,22.088,2.116,Jamalpur,India,24.92N,86.90E
1807-12-01,18.783,1.639,Jamalpur,India,24.92N,86.90E
1808-01-01,,,Jamalpur,India,24.92N,86.90E
1808-02-01,,,Jamalpur,India,24.92N,86.90E
1808-03-01,,,Jamalpur,India,24.92N,86.90E
1808-04-01,,,Jamalpur,India,24.92N,86.90E
1808-05-01,,,Jamalpur,India,24.92N,86.90E
1808-06-01,,,Jamalpur,India,24.92N,86.90E
1808-07-01,,,Jamalpur,India,24.92N,86.90E
1808-08-01,,,Jamalpur,India,24.92N,86.90E
1808-09-01,,,Jamalpur,India,24.92N,86.90E
1808-10-01,,,Jamalpur,India,24.92N,86.90E
1808-11-01,,,Jamalpur,India,24.92N,86.90E
1808-12-01,,,Jamalpur,India,24.92N,86.90E
1809-01-01,,,Jamalpur,India,24.92N,86.90E
1809-02-01,,,Jamalpur,India,24.92N,86.90E
1809-03-01,,,Jamalpur,India,24.92N,86.90E
1809-04-01,,,Jamalpur,India,24.92N,86.90E
1809-05-01,,,Jamalpur,India,24.92N,86.90E
1809-06-01,,,Jamalpur,India,24.92N,86.90E
1809-07-01,,,Jamalpur,India,24.92N,86.90E
1809-08-01,,,Jamalpur,India,24.92N,86.90E
1809-09-01,,,Jamalpur,India,24.92N,86.90E
1809-10-01,,,Jamalpur,India,24.92N,86.90E
1809-11-01,,,Jamalpur,India,24.92N,86.90E
1809-12-01,,,Jamalpur,India,24.92N,86.90E
1810-01-01,,,Jamalpur,India,24.92N,86.90E
1810-02-01,,,Jamalpur,India,24.92N,86.90E
1810-03-01,,,Jamalpur,India,24.92N,86.90E
1810-04-01,,,Jamalpur,India,24.92N,86.90E
1810-05-01,,,Jamalpur,India,24.92N,86.90E
1810-06-01,,,Jamalpur,India,24.92N,86.90E
1810-07-01,,,Jamalpur,India,24.92N,86.90E
1810-08-01,,,Jamalpur,India,24.92N,86.90E
1810-09-01,,,Jamalpur,India,24.92N,86.90E
1810-10-01,,,Jamalpur,India,24.92N,86.90E
1810-11-01,,,Jamalpur,India,24.92N,86.90E
1810-12-01,,,Jamalpur,India,24.92N,86.90E
1811-01-01,,,Jamalpur,India,24.92N,86.90E
