000000000002,0.5920000000000001,Jieshi,China,23.31N,116.21E
1920-04-01,19.965,0.62,Jieshi,China,23.31N,116.21E
1920-05-01,24.311,0.5429999999999999,Jieshi,China,23.31N,116.21E
1920-06-01,26.573,0.368,Jieshi,China,23.31N,116.21E
1920-07-01,28.259,0.37,Jieshi,China,23.31N,116.21E
1920-08-01,27.904,0.254,Jieshi,China,23.31N,116.21E
1920-09-01,27.052,0.382,Jieshi,China,23.31N,116.21E
1920-10-01,22.9,0.304,Jieshi,China,23.31N,116.21E
1920-11-01,19.449,0.46799999999999997,Jieshi,China,23.31N,116.21E
1920-12-01,15.613,0.509,Jieshi,China,23.31N,116.21E
1921-01-01,13.065999999999999,0.909,Jieshi,China,23.31N,116.21E
1921-02-01,14.191,0.66,Jieshi,China,23.31N,116.21E
1921-03-01,16.869,0.344,Jieshi,China,23.31N,116.21E
1921-04-01,21.373,0.501,Jieshi,China,23.31N,116.21E
1921-05-01,24.528000000000002,0.341,Jieshi,China,23.31N,116.21E
1921-06-01,26.944000000000003,0.23600000000000002,Jieshi,China,23.31N,116.21E
1921-07-01,28.456,0.591,Jieshi,China,23.31N,116.21E
1921-08-01,28.281,0.327,Jieshi,China,23.31N,116.21E
1921-09-01,25.898000000000003,0.20800000000000002,Jieshi,China,23.31N,116.21E
1921-10-01,22.575,0.49700000000000005,Jieshi,China,23.31N,116.21E
1921-11-01,18.58,0.41,Jieshi,China,23.31N,116.21E
1921-12-01,15.463,0.504,Jieshi,China,23.31N,116.21E
1922-01-01,13.544,0.557,Jieshi,China,23.31N,116.21E
1922-02-01,15.228,0.484,Jieshi,China,23.31N,116.21E
1922-03-01,16.965999999999998,0.331,Jieshi,China,23.31N,116.21E
1922-04-01,20.833000000000002,0.534,Jieshi,China,23.31N,116.21E
1922-05-01,25.36,0.37799999999999995,Jieshi,China,23.31N,116.21E
1922-06-01,27.250999999999998,0.23600000000000002,Jieshi,China,23.31N,116.21E
1922-07-01,28.687,0.35700000000000004,Jieshi,China,23.31N,116.21E
1922-08-01,28.221999999999998,0.27399999999999997,Jieshi,China,23.31N,116.21E
1922-09-01,26.49,0.313,Jieshi,China,23.31N,116.21E
1922-10-01,22.855,0.493,Jieshi,China,23.31N,116.21E
1922-11-01,18.042,0.34700000000000003,Jieshi,China,23.31N,116.21E
1922-12-01,14.12,0.389,Jieshi,China,23.31N,116.21E
1923-01-01,13.402999999999999,0.42700000000000005,Jieshi,China,23.31N,116.21E
1923-02-01,13.222000000000001,0.406,Jieshi,China,23.31N,116.21E
1923-03-01,17.875999999999994,0.5720000000000001,Jieshi,China,23.31N,116.21E
1923-04-01,21.039,0.40299999999999997,Jieshi,China,23.31N,116.21E
1923-05-01,24.987,0.445,Jieshi,China,23.31N,116.21E
1923-06-01,26.816,0.322,Jieshi,China,23.31N,116.21E
1923-07-01,28.122,0.214,Jieshi,China,23.31N,116.21E
1923-08-01,27.959,0.27,Jieshi,China,23.31N,116.21E
1923-09-01,26.497,0.324,Jieshi,China,23.31N,116.21E
1923-10-01,22.691999999999997,0.331,Jieshi,China,23.31N,116.21E
1923-11-01,19.808,0.507,Jieshi,China,23.31N,116.21E
1923-12-01,15.142000000000001,0.511,Jieshi,China,23.31N,116.21E
1924-01-01,14.123,0.363,Jieshi,China,23.31N,116.21E
1924-02-01,13.847000000000001,0.48100000000000004,Jieshi,China,23.31N,116.21E
1924-03-01,16.141,0.48700000000000004,Jieshi,China,23.31N,116.21E
1924-04-01,20.573,0.389,Jieshi,China,23.31N,116.21E
1924-05-01,25.989,0.601,Jieshi,China,23.31N,116.21E
1924-06-01,26.44,0.275,Jieshi,China,23.31N,116.21E
1924-07-01,28.033,0.25,Jieshi,China,23.31N,116.21E
1924-08-01,28.384,0.519,Jieshi,China,23.31N,116.21E
1924-09-01,27.167,0.33799999999999997,Jieshi,China,23.31N,116.21E
1924-10-01,23.421999999999997,0.32899999999999996,Jieshi,China,23.31N,116.21E
1924-11-01,17.82,0.345,Jieshi,China,23.31N,116.21E
1924-12-01,14.091,0.612,Jieshi,China,23.31N,116.21E
1925-01-01,11.915,0.514,Jieshi,China,23.31N,116.21E
1925-02-01,12.099,0.611,Jieshi,China,23.31N,116.21E
1925-03-01,16.887,0.524,Jieshi,China,23.31N,116.21E
1925-04-01,18.014,0.237,Jieshi,China,23.31N,116.21E
1925-05-01,24.840999999999998,0.473,Jieshi,China,23.31N,116.21E
1925-06-01,27.511999999999997,0.322,Jieshi,China,23.31N,116.21E
1925-07-01,28.688000000000002,0.317,Jieshi,China,23.31N,116.21E
1925-08-01,28.695,0.3,Jieshi,China,23.31N,116.21E
1925-09-01,27.065,0.21100000000000002,Jieshi,China,23.31N,116.21E
1925-10-01,22.298000000000002,0.7440000000000001,Jieshi,China,23.31N,116.21E
1925-11-01,19.629,0.451,Jieshi,China,23.31N,116.21E
1925-12-01,14.34,0.5489999999999999,Jieshi,China,23.31N,116.21E
1926-01-01,13.659,0.40299999999999997,Jieshi,China,23.31N,116.21E
1926-02-01,13.927,0.303,Jieshi,China,23.31N,116.21E
1926-03-01,17.037,0.396,Jieshi,China,23.31N,116.21E
