21.308000000000003,1.117,Jos,Nigeria,10.45N,9.00E
1891-01-01,20.925,1.2770000000000001,Jos,Nigeria,10.45N,9.00E
1891-02-01,23.035,1.1840000000000002,Jos,Nigeria,10.45N,9.00E
1891-03-01,25.564,1.159,Jos,Nigeria,10.45N,9.00E
1891-04-01,26.868000000000002,1.052,Jos,Nigeria,10.45N,9.00E
1891-05-01,25.854000000000006,0.932,Jos,Nigeria,10.45N,9.00E
1891-06-01,24.058000000000003,0.884,Jos,Nigeria,10.45N,9.00E
1891-07-01,22.47,0.883,Jos,Nigeria,10.45N,9.00E
1891-08-01,21.828000000000003,1.046,Jos,Nigeria,10.45N,9.00E
1891-09-01,23.259,0.7929999999999999,Jos,Nigeria,10.45N,9.00E
1891-10-01,23.412,0.8540000000000001,Jos,Nigeria,10.45N,9.00E
1891-11-01,23.044,0.9420000000000001,Jos,Nigeria,10.45N,9.00E
1891-12-01,21.526,1.001,Jos,Nigeria,10.45N,9.00E
1892-01-01,21.539,1.0490000000000002,Jos,Nigeria,10.45N,9.00E
1892-02-01,23.539,1.041,Jos,Nigeria,10.45N,9.00E
1892-03-01,26.741,1.1179999999999999,Jos,Nigeria,10.45N,9.00E
1892-04-01,26.921,0.726,Jos,Nigeria,10.45N,9.00E
1892-05-01,25.488000000000003,0.7809999999999999,Jos,Nigeria,10.45N,9.00E
1892-06-01,24.28,0.868,Jos,Nigeria,10.45N,9.00E
1892-07-01,22.335,0.851,Jos,Nigeria,10.45N,9.00E
1892-08-01,22.529,0.7290000000000001,Jos,Nigeria,10.45N,9.00E
1892-09-01,22.936999999999998,0.8590000000000001,Jos,Nigeria,10.45N,9.00E
1892-10-01,23.701,1.06,Jos,Nigeria,10.45N,9.00E
1892-11-01,22.866999999999997,0.9670000000000001,Jos,Nigeria,10.45N,9.00E
1892-12-01,21.51,1.3419999999999999,Jos,Nigeria,10.45N,9.00E
1893-01-01,21.125999999999998,1.22,Jos,Nigeria,10.45N,9.00E
1893-02-01,23.025,1.162,Jos,Nigeria,10.45N,9.00E
1893-03-01,25.952,1.005,Jos,Nigeria,10.45N,9.00E
1893-04-01,26.077,0.775,Jos,Nigeria,10.45N,9.00E
1893-05-01,26.462,0.963,Jos,Nigeria,10.45N,9.00E
1893-06-01,23.750999999999998,1.499,Jos,Nigeria,10.45N,9.00E
