03,0.217,Kasugai,Japan,34.56N,136.22E
1976-02-01,6.713000000000001,0.14300000000000002,Kasugai,Japan,34.56N,136.22E
1976-03-01,8.154,0.17800000000000002,Kasugai,Japan,34.56N,136.22E
1976-04-01,12.889,0.16,Kasugai,Japan,34.56N,136.22E
1976-05-01,17.396,0.38799999999999996,Kasugai,Japan,34.56N,136.22E
1976-06-01,21.557,0.266,Kasugai,Japan,34.56N,136.22E
1976-07-01,24.611,0.285,Kasugai,Japan,34.56N,136.22E
1976-08-01,25.859,0.187,Kasugai,Japan,34.56N,136.22E
1976-09-01,21.256999999999998,0.247,Kasugai,Japan,34.56N,136.22E
1976-10-01,16.409000000000002,0.267,Kasugai,Japan,34.56N,136.22E
1976-11-01,10.362,0.128,Kasugai,Japan,34.56N,136.22E
1976-12-01,5.81,0.109,Kasugai,Japan,34.56N,136.22E
1977-01-01,2.574,0.154,Kasugai,Japan,34.56N,136.22E
1977-02-01,3.123,0.248,Kasugai,Japan,34.56N,136.22E
1977-03-01,8.631,0.20800000000000002,Kasugai,Japan,34.56N,136.22E
1977-04-01,14.048,0.223,Kasugai,Japan,34.56N,136.22E
1977-05-01,17.838,0.203,Kasugai,Japan,34.56N,136.22E
1977-06-01,21.441,0.141,Kasugai,Japan,34.56N,136.22E
1977-07-01,26.526999999999997,0.22,Kasugai,Japan,34.56N,136.22E
1977-08-01,26.215999999999998,0.297,Kasugai,Japan,34.56N,136.22E
1977-09-01,23.814,0.225,Kasugai,Japan,34.56N,136.22E
1977-10-01,18.296,0.187,Kasugai,Japan,34.56N,136.22E
1977-11-01,13.388,0.185,Kasugai,Japan,34.56N,136.22E
1977-12-01,7.85,0.228,Kasugai,Japan,34.56N,136.22E
1978-01-01,4.7139999999999995,0.184,Kasugai,Japan,34.56N,136.22E
1978-02-01,3.5930000000000004,0.172,Kasugai,Japan,34.56N,136.22E
1978-03-01,7.635,0.19699999999999998,Kasugai,Japan,34.56N,136.22E
1978-04-01,12.7,0.21100000000000002,Kasugai,Japan,34.56N,136.22E
1978-05-01,18.195999999999998,0.21600000000000003,Kasugai,Japan,34.56N,136.22E
1978-06-01,22.457,0.102,Kasugai,Japan,34.56N,136.22E
1978-07-01,27.304,0.331,Kasugai,Japan,34.56N,136.22E
1978-08-01,27.866,0.228,Kasugai,Japan,34.56N,136.22E
1978-09-01,23.651999999999997,0.095,Kasugai,Japan,34.56N,136.22E
1978-10-01,17.052,0.122,Kasugai,Japan,34.56N,136.22E
1978-11-01,11.884,0.223,Kasugai,Japan,34.56N,136.22E
1978-12-01,7.402,0.326,Kasugai,Japan,34.56N,136.22E
1979-01-01,5.841,0.239,Kasugai,Japan,34.56N,136.22E
1979-02-01,7.372999999999999,0.213,Kasugai,Japan,34.56N,136.22E
1979-03-01,8.165,0.17800000000000002,Kasugai,Japan,34.56N,136.22E
1979-04-01,12.695,0.26899999999999996,Kasugai,Japan,34.56N,136.22E
1979-05-01,17.402,0.19699999999999998,Kasugai,Japan,34.56N,136.22E
1979-06-01,23.176,0.205,Kasugai,Japan,34.56N,136.22E
1979-07-01,25.07,0.132,Kasugai,Japan,34.56N,136.22E
1979-08-01,27.339000000000002,0.243,Kasugai,Japan,34.56N,136.22E
1979-09-01,23.44,0.157,Kasugai,Japan,34.56N,136.22E
1979-10-01,18.325000000000006,0.12300000000000001,Kasugai,Japan,34.56N,136.22E
1979-11-01,12.52,0.129,Kasugai,Japan,34.56N,136.22E
1979-12-01,7.865,0.222,Kasugai,Japan,34.56N,136.22E
1980-01-01,4.332,0.17,Kasugai,Japan,34.56N,136.22E
1980-02-01,3.7810000000000006,0.161,Kasugai,Japan,34.56N,136.22E
1980-03-01,7.79,0.124,Kasugai,Japan,34.56N,136.22E
1980-04-01,12.460999999999999,0.184,Kasugai,Japan,34.56N,136.22E
1980-05-01,17.968,0.201,Kasugai,Japan,34.56N,136.22E
1980-06-01,22.676,0.289,Kasugai,Japan,34.56N,136.22E
1980-07-01,24.662000000000006,0.198,Kasugai,Japan,34.56N,136.22E
1980-08-01,25.191,0.185,Kasugai,Japan,34.56N,136.22E
1980-09-01,22.203000000000007,0.091,Kasugai,Japan,34.56N,136.22E
1980-10-01,17.191000000000006,0.141,Kasugai,Japan,34.56N,136.22E
1980-11-01,12.309000000000001,0.146,Kasugai,Japan,34.56N,136.22E
1980-12-01,5.292000000000001,0.19,Kasugai,Japan,34.56N,136.22E
1981-01-01,2.398,0.228,Kasugai,Japan,34.56N,136.22E
1981-02-01,4.085000000000001,0.182,Kasugai,Japan,34.56N,136.22E
1981-03-01,8.318999999999999,0.126,Kasugai,Japan,34.56N,136.22E
1981-04-01,13.097000000000001,0.245,Kasugai,Japan,34.56N,136.22E
1981-05-01,17.146,0.17600000000000002,Kasugai,Japan,34.56N,136.22E
1981-06-01,21.681,0.177,Kasugai,Japan,34.56N,136.22E
1981-07-01,26.699,0.363,Kasugai,Japan,34.56N,136.22E
1981-08-01,25.941999999999997,0.16,Kasugai,Japan,34.56N,136.22E
1981-09-01,21.706000000000003,0.095,Kasugai,Japan,34.56N,136.22E
1981-10-01,16.083000000000002,0.171,Kasugai,Japan,34.56N,136.22E
1981-11-01,9.748,0.21600000000000003,Kasugai,Japan,34.56N,136.22E
1981-12-01,6.006,0.28300000000000003,Kasugai,Japan,34.56N,136.22E
1982-01-01,3.948,0.08,Kasugai,Japan,34.56N,136.22E
1982-02-01,4.545000000000001,0.1,Kasugai,Japan,34.56N,136.22E
1982-03-01,8.812000000000001,0.192,Kasugai,Japan,34.56N,136.22E
1982-04-01,12.808,0.163,Kasugai,Japan,34.56N,136.22E
1982-05-01,19.305,0.239,Kasugai,Japan,34.56N,136.22E
1982-06-01,21.207,0.204,Kasugai,Japan,34.56N,136.22E
1982-07-01,23.366999999999997,0.19699999999999998,Kasugai,Japan,34.56N,136.22E
1982-08-01,25.946,0.166,Kasugai,Japan,34.56N,136.22E
1982-09-01,21.816999999999997,0.22699999999999998,Kasugai,Japan,34.56N,136.22E
1982-10-01,16.812,0.131,Kasugai,Japan,34.56N,136.22E
1982-11-01,13.278,0.27699999999999997,Kasugai,Japan,34.56N,136.22E
1982-12-01,7.154,0.264,Kasugai,Japan,34.56N,136.22E
1983-01-01,4.882,0.203,Kasugai,Japan,34.56N,136.22E
1983-02-01,4.532,0.263,Kasugai,Japan,34.56N,136.22E
1983-03-01,8.071,0.127,Kasugai,Japan,34.56N,136.22E
1983-04-01,15.175999999999998,0.21100000000000002,Kasugai,Japan,34.56N,136.22E
1983-05-01,18.52,0.10099999999999999,Kasugai,Japan,34.56N,136.22E
1983-06-01,21.122,0.3,Kasugai,Japan,34.56N,136.22E
1983-07-01,25.225,0.267,Kasugai,Japan,34.56N,136.22E
1983-08-01,27.864,0.248,Kasugai,Japan,34.56N,136.22E
1983-09-01,23.680999999999997,0.316,Kasugai,Japan,34.56N,136.22E
1983-10-01,16.672,0.256,Kasugai,Japan,34.56N,136.22E
1983-11-01,11.092,0.166,Kasugai,Japan,34.56N,136.22E
1983-12-01,5.267,0.32899999999999996,Kasugai,Japan,34.56N,136.22E
1984-01-01,2.424,0.135,Kasugai,Japan,34.56N,136.22E
1984-02-01,2.5160000000000005,0.21100000000000002,Kasugai,Japan,34.56N,136.22E
1984-03-01,5.104,0.252,Kasugai,Japan,34.56N,136.22E
1984-04-01,12.26,0.193,Kasugai,Japan,34.56N,136.22E
1984-05-01,17.472,0.16699999999999998,Kasugai,Japan,34.56N,136.22E
1984-06-01,22.446,0.14800000000000002,Kasugai,Japan,34.56N,136.22E
1984-07-01,26.261999999999997,0.265,Kasugai,Japan,34.56N,136.22E
1984-08-01,27.886,0.25,Kasugai,Japan,34.56N,136.22E
1984-09-01,22.706999999999997,0.166,Kasugai,Japan,34.56N,136.22E
1984-10-01,16.473000000000006,0.22399999999999998,Kasugai,Japan,34.56N,136.22E
1984-11-01,12.16,0.11900000000000001,Kasugai,Japan,34.56N,136.22E
1984-12-01,6.475,0.21,Kasugai,Japan,34.56N,136.22E
1985-01-01,2.983,0.147,Kasugai,Japan,34.56N,136.22E
1985-02-01,5.4879999999999995,0.239,Kasugai,Japan,34.56N,136.22E
1985-03-01,8.765,0.20600000000000002,Kasugai,Japan,34.56N,136.22E
1985-04-01,13.857,0.244,Kasugai,Japan,34.56N,136.22E
1985-05-01,18.738,0.26899999999999996,Kasugai,Japan,34.56N,136.22E
1985-06-01,21.142,0.22699999999999998,Kasugai,Japan,34.56N,136.22E
1985-07-01,26.381999999999998,0.192,Kasugai,Japan,34.56N,136.22E
1985-08-01,27.522,0.231,Kasugai,Japan,34.56N,136.22E
1985-09-01,23.951999999999998,0.345,Kasugai,Japan,34.56N,136.22E
1985-10-01,17.387999999999998,0.162,Kasugai,Japan,34.56N,136.22E
1985-11-01,11.363,0.2,Kasugai,Japan,34.56N,136.22E
1985-12-01,5.3020000000000005,0.284,Kasugai,Japan,34.56N,136.22E
1986-01-01,2.924,0.249,Kasugai,Japan,34.56N,136.22E
1986-02-01,3.0180000000000007,0.183,Kasugai,Japan,34.56N,136.22E
1986-03-01,7.648,0.165,Kasugai,Japan,34.56N,136.22E
1986-04-01,13.308,0.182,Kasugai,Japan,34.56N,136.22E
1986-05-01,17.389,0.18600000000000003,Kasugai,Japan,34.56N,136.22E
1986-06-01,21.611,0.222,Kasugai,Japan,34.56N,136.22E
1986-07-01,24.944000000000006,0.271,Kasugai,Japan,34.56N,136.22E
1986-08-01,26.956999999999997,0.303,Kasugai,Japan,34.56N,136.22E
1986-09-01,23.488000000000003,0.27399999999999997,Kasugai,Japan,34.56N,136.22E
1986-10-01,15.7,0.152,Kasugai,Japan,34.56N,136.22E
1986-11-01,11.21,0.21600000000000003,Kasugai,Japan,34.56N,136.22E
1986-12-01,7.582000000000001,0.19,Kasugai,Japan,34.56N,136.22E
1987-01-01,5.052,0.275,Kasugai,Japan,34.56N,136.22E
1987-02-01,5.7410000000000005,0.204,Kasugai,Japan,34.56N,136.22E
1987-03-01,8.167,0.168,Kasugai,Japan,34.56N,136.22E
1987-04-01,13.206,0.158,Kasugai,Japan,34.56N,136.22E
1987-05-01,17.934,0.165,Kasugai,Japan,34.56N,136.22E
1987-06-01,22.302,0.207,Kasugai,Japan,34.56N,136.22E
1987-07-01,26.32,0.18899999999999997,Kasugai,Japan,34.56N,136.22E
1987-08-01,27.358,0.244,Kasugai,Japan,34.56N,136.22E
1987-09-01,23.016,0.196,Kasugai,Japan,34.56N,136.22E
1987-10-01,18.234,0.244,Kasugai,Japan,34.56N,136.22E
1987-11-01,12.371,0.23800000000000002,Kasugai,Japan,34.56N,136.22E
1987-12-01,7.335,0.24100000000000002,Kasugai,Japan,34.56N,136.22E
1988-01-01,5.894,0.276,Kasugai,Japan,34.56N,136.22E
1988-02-01,4.1320000000000014,0.158,Kasugai,Japan,34.56N,136.22E
1988-03-01,7.595,0.17,Kasugai,Japan,34.56N,136.22E
1988-04-01,12.985999999999999,0.132,Kasugai,Japan,34.56N,136.22E
1988-05-01,17.52,0.168,Kasugai,Japan,34.56N,136.22E
1988-06-01,21.869,0.233,Kasugai,Japan,34.56N,136.22E
1988-07-01,24.540000000000006,0.131,Kasugai,Japan,34.56N,136.22E
1988-08-01,26.515,0.275,Kasugai,Japan,34.56N,136.22E
1988-09-01,23.646,0.275,Kasugai,Japan,34.56N,136.22E
1988-10-01,16.345000000000002,0.18100000000000002,Kasugai,Japan,34.56N,136.22E
1988-11-01,9.925,0.15,Kasugai,Japan,34.56N,136.22E
1988-12-01,5.896,0.161,Kasugai,Japan,34.56N,136.22E
1989-01-01,6.5520000000000005,0.255,Kasugai,Japan,34.56N,136.22E
1989-02-01,6.8290000000000015,0.11800000000000001,Kasugai,Japan,34.56N,136.22E
1989-03-01,8.579,0.174,Kasugai,Japan,34.56N,136.22E
1989-04-01,14.022,0.218,Kasugai,Japan,34.56N,136.22E
1989-05-01,17.271,0.1,Kasugai,Japan,34.56N,136.22E
1989-06-01,20.911,0.223,Kasugai,Japan,34.56N,136.22E
