358,0.163,Leghorn,Italy,44.20N,11.18E
1995-09-01,16.512999999999998,0.425,Leghorn,Italy,44.20N,11.18E
1995-10-01,14.323,0.807,Leghorn,Italy,44.20N,11.18E
1995-11-01,7.5939999999999985,0.38299999999999995,Leghorn,Italy,44.20N,11.18E
1995-12-01,4.865,0.594,Leghorn,Italy,44.20N,11.18E
1996-01-01,4.7589999999999995,0.41200000000000003,Leghorn,Italy,44.20N,11.18E
1996-02-01,3.3120000000000003,0.17,Leghorn,Italy,44.20N,11.18E
1996-03-01,6.075,0.308,Leghorn,Italy,44.20N,11.18E
1996-04-01,11.34,0.22399999999999998,Leghorn,Italy,44.20N,11.18E
1996-05-01,15.93,0.192,Leghorn,Italy,44.20N,11.18E
1996-06-01,20.562,0.276,Leghorn,Italy,44.20N,11.18E
1996-07-01,21.613000000000003,0.198,Leghorn,Italy,44.20N,11.18E
1996-08-01,21.431,0.23,Leghorn,Italy,44.20N,11.18E
1996-09-01,15.345,0.47600000000000003,Leghorn,Italy,44.20N,11.18E
1996-10-01,12.604,0.225,Leghorn,Italy,44.20N,11.18E
1996-11-01,9.21,0.47200000000000003,Leghorn,Italy,44.20N,11.18E
1996-12-01,4.331,0.375,Leghorn,Italy,44.20N,11.18E
1997-01-01,4.7799999999999985,0.33899999999999997,Leghorn,Italy,44.20N,11.18E
1997-02-01,6.206,0.265,Leghorn,Italy,44.20N,11.18E
1997-03-01,9.566,0.49,Leghorn,Italy,44.20N,11.18E
1997-04-01,9.656,0.40399999999999997,Leghorn,Italy,44.20N,11.18E
1997-05-01,16.438000000000002,0.355,Leghorn,Italy,44.20N,11.18E
1997-06-01,19.876,0.38299999999999995,Leghorn,Italy,44.20N,11.18E
1997-07-01,22.068,0.35,Leghorn,Italy,44.20N,11.18E
1997-08-01,22.679000000000002,0.305,Leghorn,Italy,44.20N,11.18E
1997-09-01,19.922,0.361,Leghorn,Italy,44.20N,11.18E
1997-10-01,13.475,0.436,Leghorn,Italy,44.20N,11.18E
1997-11-01,8.561,0.318,Leghorn,Italy,44.20N,11.18E
