09,1.964,Lleida,Spain,40.99N,0.00W
1752-04-01,12.485,1.8659999999999999,Lleida,Spain,40.99N,0.00W
1752-05-01,,,Lleida,Spain,40.99N,0.00W
1752-06-01,,,Lleida,Spain,40.99N,0.00W
1752-07-01,,,Lleida,Spain,40.99N,0.00W
1752-08-01,,,Lleida,Spain,40.99N,0.00W
1752-09-01,,,Lleida,Spain,40.99N,0.00W
1752-10-01,13.981,1.821,Lleida,Spain,40.99N,0.00W
1752-11-01,11.054,1.8730000000000002,Lleida,Spain,40.99N,0.00W
1752-12-01,7.744,2.025,Lleida,Spain,40.99N,0.00W
1753-01-01,3.6519999999999997,6.308,Lleida,Spain,40.99N,0.00W
1753-02-01,6.901,3.385,Lleida,Spain,40.99N,0.00W
1753-03-01,11.653,3.158,Lleida,Spain,40.99N,0.00W
1753-04-01,12.572,6.296,Lleida,Spain,40.99N,0.00W
1753-05-01,17.346999999999998,2.106,Lleida,Spain,40.99N,0.00W
1753-06-01,23.444000000000003,2.352,Lleida,Spain,40.99N,0.00W
1753-07-01,25.121,1.8659999999999999,Lleida,Spain,40.99N,0.00W
1753-08-01,22.991999999999997,5.551,Lleida,Spain,40.99N,0.00W
1753-09-01,20.278,1.636,Lleida,Spain,40.99N,0.00W
1753-10-01,14.969000000000001,1.568,Lleida,Spain,40.99N,0.00W
1753-11-01,8.818,2.545,Lleida,Spain,40.99N,0.00W
1753-12-01,6.4879999999999995,3.592,Lleida,Spain,40.99N,0.00W
1754-01-01,4.83,2.998,Lleida,Spain,40.99N,0.00W
1754-02-01,4.642,4.516,Lleida,Spain,40.99N,0.00W
1754-03-01,8.1,3.597,Lleida,Spain,40.99N,0.00W
1754-04-01,14.012,6.385,Lleida,Spain,40.99N,0.00W
1754-05-01,17.593,3.197,Lleida,Spain,40.99N,0.00W
1754-06-01,21.956,1.845,Lleida,Spain,40.99N,0.00W
1754-07-01,23.804,2.597,Lleida,Spain,40.99N,0.00W
1754-08-01,24.267,3.908,Lleida,Spain,40.99N,0.00W
1754-09-01,20.011,2.8560000000000003,Lleida,Spain,40.99N,0.00W
1754-10-01,16.302,2.385,Lleida,Spain,40.99N,0.00W
1754-11-01,11.273,1.9880000000000002,Lleida,Spain,40.99N,0.00W
1754-12-01,6.901,2.443,Lleida,Spain,40.99N,0.00W
1755-01-01,2.224,5.52,Lleida,Spain,40.99N,0.00W
1755-02-01,5.2010000000000005,4.63,Lleida,Spain,40.99N,0.00W
1755-03-01,10.069,4.067,Lleida,Spain,40.99N,0.00W
1755-04-01,16.185000000000002,4.225,Lleida,Spain,40.99N,0.00W
1755-05-01,17.108,3.326,Lleida,Spain,40.99N,0.00W
1755-06-01,23.462,3.792,Lleida,Spain,40.99N,0.00W
1755-07-01,23.748,1.774,Lleida,Spain,40.99N,0.00W
1755-08-01,22.63,2.524,Lleida,Spain,40.99N,0.00W
1755-09-01,19.674,1.459,Lleida,Spain,40.99N,0.00W
1755-10-01,14.167,6.194,Lleida,Spain,40.99N,0.00W
1755-11-01,9.715,5.774,Lleida,Spain,40.99N,0.00W
1755-12-01,5.807,7.018,Lleida,Spain,40.99N,0.00W
1756-01-01,7.057,3.728,Lleida,Spain,40.99N,0.00W
