00000002,3.29,Nefteyugansk,Russia,61.88N,73.02E
1875-03-01,-15.664000000000001,1.496,Nefteyugansk,Russia,61.88N,73.02E
1875-04-01,-3.32,1.392,Nefteyugansk,Russia,61.88N,73.02E
1875-05-01,2.786,1.143,Nefteyugansk,Russia,61.88N,73.02E
1875-06-01,12.435,1.706,Nefteyugansk,Russia,61.88N,73.02E
1875-07-01,16.593,1.089,Nefteyugansk,Russia,61.88N,73.02E
1875-08-01,13.069,1.785,Nefteyugansk,Russia,61.88N,73.02E
1875-09-01,5.73,2.043,Nefteyugansk,Russia,61.88N,73.02E
1875-10-01,-3.033,1.39,Nefteyugansk,Russia,61.88N,73.02E
1875-11-01,-16.366,1.847,Nefteyugansk,Russia,61.88N,73.02E
1875-12-01,-26.195,3.4419999999999997,Nefteyugansk,Russia,61.88N,73.02E
1876-01-01,-22.603,1.5830000000000002,Nefteyugansk,Russia,61.88N,73.02E
1876-02-01,-19.518,1.463,Nefteyugansk,Russia,61.88N,73.02E
1876-03-01,-9.944,5.683,Nefteyugansk,Russia,61.88N,73.02E
1876-04-01,-7.3020000000000005,2.875,Nefteyugansk,Russia,61.88N,73.02E
1876-05-01,2.826,1.7009999999999998,Nefteyugansk,Russia,61.88N,73.02E
1876-06-01,11.032,2.504,Nefteyugansk,Russia,61.88N,73.02E
1876-07-01,17.686,1.386,Nefteyugansk,Russia,61.88N,73.02E
1876-08-01,14.022,1.07,Nefteyugansk,Russia,61.88N,73.02E
1876-09-01,7.966,1.585,Nefteyugansk,Russia,61.88N,73.02E
1876-10-01,-3.1319999999999997,1.526,Nefteyugansk,Russia,61.88N,73.02E
1876-11-01,-13.804,1.601,Nefteyugansk,Russia,61.88N,73.02E
1876-12-01,-26.366,2.717,Nefteyugansk,Russia,61.88N,73.02E
1877-01-01,-22.096,3.198,Nefteyugansk,Russia,61.88N,73.02E
1877-02-01,-22.146,1.9140000000000001,Nefteyugansk,Russia,61.88N,73.02E
1877-03-01,-11.298,1.57,Nefteyugansk,Russia,61.88N,73.02E
1877-04-01,-7.127999999999999,2.958,Nefteyugansk,Russia,61.88N,73.02E
1877-05-01,3.7569999999999997,2.213,Nefteyugansk,Russia,61.88N,73.02E
1877-06-01,14.925999999999998,5.729,Nefteyugansk,Russia,61.88N,73.02E
1877-07-01,17.778,1.252,Nefteyugansk,Russia,61.88N,73.02E
1877-08-01,15.145,2.6510000000000002,Nefteyugansk,Russia,61.88N,73.02E
1877-09-01,7.084,1.416,Nefteyugansk,Russia,61.88N,73.02E
1877-10-01,-1.3730000000000002,2.237,Nefteyugansk,Russia,61.88N,73.02E
1877-11-01,-8.733999999999998,5.181,Nefteyugansk,Russia,61.88N,73.02E
1877-12-01,-23.805,3.478,Nefteyugansk,Russia,61.88N,73.02E
1878-01-01,-25.059,2.285,Nefteyugansk,Russia,61.88N,73.02E
1878-02-01,-17.951,2.299,Nefteyugansk,Russia,61.88N,73.02E
1878-03-01,-9.063,2.47,Nefteyugansk,Russia,61.88N,73.02E
1878-04-01,-5.4670000000000005,1.624,Nefteyugansk,Russia,61.88N,73.02E
1878-05-01,4.454,1.16,Nefteyugansk,Russia,61.88N,73.02E
1878-06-01,12.796,1.546,Nefteyugansk,Russia,61.88N,73.02E
