.123,1.07,Nova Iguaçu,Brazil,23.31S,42.82W
1915-06-01,23.334,0.688,Nova Iguaçu,Brazil,23.31S,42.82W
1915-07-01,22.589000000000002,0.61,Nova Iguaçu,Brazil,23.31S,42.82W
1915-08-01,22.853,0.7140000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1915-09-01,22.166999999999998,0.738,Nova Iguaçu,Brazil,23.31S,42.82W
1915-10-01,21.369,0.607,Nova Iguaçu,Brazil,23.31S,42.82W
1915-11-01,21.969,0.758,Nova Iguaçu,Brazil,23.31S,42.82W
1915-12-01,23.465,0.995,Nova Iguaçu,Brazil,23.31S,42.82W
1916-01-01,25.014,1.36,Nova Iguaçu,Brazil,23.31S,42.82W
1916-02-01,25.295,1.008,Nova Iguaçu,Brazil,23.31S,42.82W
1916-03-01,24.944000000000003,0.7390000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1916-04-01,24.266,0.9359999999999999,Nova Iguaçu,Brazil,23.31S,42.82W
1916-05-01,24.238000000000003,0.932,Nova Iguaçu,Brazil,23.31S,42.82W
1916-06-01,24.124000000000002,0.677,Nova Iguaçu,Brazil,23.31S,42.82W
1916-07-01,22.48,0.682,Nova Iguaçu,Brazil,23.31S,42.82W
1916-08-01,22.03,0.716,Nova Iguaçu,Brazil,23.31S,42.82W
1916-09-01,22.693,0.948,Nova Iguaçu,Brazil,23.31S,42.82W
1916-10-01,20.906,0.669,Nova Iguaçu,Brazil,23.31S,42.82W
1916-11-01,22.78,0.759,Nova Iguaçu,Brazil,23.31S,42.82W
1916-12-01,23.441,0.795,Nova Iguaçu,Brazil,23.31S,42.82W
1917-01-01,25.19,1.271,Nova Iguaçu,Brazil,23.31S,42.82W
1917-02-01,25.811999999999998,0.927,Nova Iguaçu,Brazil,23.31S,42.82W
1917-03-01,25.106,0.5660000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1917-04-01,23.612,0.648,Nova Iguaçu,Brazil,23.31S,42.82W
1917-05-01,22.007,0.8079999999999999,Nova Iguaçu,Brazil,23.31S,42.82W
1917-06-01,21.226999999999997,0.825,Nova Iguaçu,Brazil,23.31S,42.82W
1917-07-01,21.268,1.0659999999999998,Nova Iguaçu,Brazil,23.31S,42.82W
1917-08-01,20.712,0.802,Nova Iguaçu,Brazil,23.31S,42.82W
1917-09-01,21.166999999999998,0.878,Nova Iguaçu,Brazil,23.31S,42.82W
1917-10-01,20.776,0.997,Nova Iguaçu,Brazil,23.31S,42.82W
1917-11-01,21.219,0.995,Nova Iguaçu,Brazil,23.31S,42.82W
1917-12-01,23.288,0.759,Nova Iguaçu,Brazil,23.31S,42.82W
1918-01-01,25.377,1.0290000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1918-02-01,25.826,0.693,Nova Iguaçu,Brazil,23.31S,42.82W
1918-03-01,25.679000000000002,0.8390000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1918-04-01,24.564,0.9620000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1918-05-01,24.214000000000002,0.8190000000000001,Nova Iguaçu,Brazil,23.31S,42.82W
1918-06-01,22.851999999999997,0.583,Nova Iguaçu,Brazil,23.31S,42.82W
1918-07-01,21.316999999999997,0.8009999999999999,Nova Iguaçu,Brazil,23.31S,42.82W
1918-08-01,20.721999999999998,0.67,Nova Iguaçu,Brazil,23.31S,42.82W
1918-09-01,21.135,0.763,Nova Iguaçu,Brazil,23.31S,42.82W
1918-10-01,21.726,0.601,Nova Iguaçu,Brazil,23.31S,42.82W
1918-11-01,22.410999999999998,0.7909999999999999,Nova Iguaçu,Brazil,23.31S,42.82W
1918-12-01,23.289,1.045,Nova Iguaçu,Brazil,23.31S,42.82W
1919-01-01,24.469,1.2209999999999999,Nova Iguaçu,Brazil,23.31S,42.82W
1919-02-01,25.156,0.9159999999999999,Nova Iguaçu,Brazil,23.31S,42.82W
1919-03-01,25.075,1.534,Nova Iguaçu,Brazil,23.31S,42.82W
1919-04-01,24.921999999999997,1.034,Nova Iguaçu,Brazil,23.31S,42.82W
