075000000000006,1.085,Pontianak,Indonesia,0.80S,110.09E
1879-10-01,25.430999999999997,1.07,Pontianak,Indonesia,0.80S,110.09E
1879-11-01,25.264,0.745,Pontianak,Indonesia,0.80S,110.09E
1879-12-01,25.252,0.958,Pontianak,Indonesia,0.80S,110.09E
1880-01-01,25.127,0.8079999999999999,Pontianak,Indonesia,0.80S,110.09E
1880-02-01,26.168000000000003,0.767,Pontianak,Indonesia,0.80S,110.09E
1880-03-01,25.862,0.691,Pontianak,Indonesia,0.80S,110.09E
1880-04-01,25.493000000000002,0.59,Pontianak,Indonesia,0.80S,110.09E
1880-05-01,26.273000000000003,0.725,Pontianak,Indonesia,0.80S,110.09E
1880-06-01,25.741999999999997,0.71,Pontianak,Indonesia,0.80S,110.09E
1880-07-01,25.885,0.679,Pontianak,Indonesia,0.80S,110.09E
1880-08-01,26.269,0.727,Pontianak,Indonesia,0.80S,110.09E
1880-09-01,26.040000000000006,0.8540000000000001,Pontianak,Indonesia,0.80S,110.09E
1880-10-01,25.776,0.9009999999999999,Pontianak,Indonesia,0.80S,110.09E
1880-11-01,25.351,1.837,Pontianak,Indonesia,0.80S,110.09E
1880-12-01,25.038,0.9540000000000001,Pontianak,Indonesia,0.80S,110.09E
1881-01-01,25.439,1.3459999999999999,Pontianak,Indonesia,0.80S,110.09E
1881-02-01,25.704,0.77,Pontianak,Indonesia,0.80S,110.09E
1881-03-01,25.893,1.902,Pontianak,Indonesia,0.80S,110.09E
1881-04-01,25.641,1.705,Pontianak,Indonesia,0.80S,110.09E
1881-05-01,26.386000000000006,0.802,Pontianak,Indonesia,0.80S,110.09E
1881-06-01,26.199,0.72,Pontianak,Indonesia,0.80S,110.09E
1881-07-01,26.432,0.745,Pontianak,Indonesia,0.80S,110.09E
1881-08-01,26.331999999999997,0.9129999999999999,Pontianak,Indonesia,0.80S,110.09E
1881-09-01,26.236,0.695,Pontianak,Indonesia,0.80S,110.09E
1881-10-01,26.144,0.9940000000000001,Pontianak,Indonesia,0.80S,110.09E
1881-11-01,25.820999999999998,1.13,Pontianak,Indonesia,0.80S,110.09E
1881-12-01,26.029,1.0290000000000001,Pontianak,Indonesia,0.80S,110.09E
1882-01-01,26.437,1.093,Pontianak,Indonesia,0.80S,110.09E
1882-02-01,26.302,0.608,Pontianak,Indonesia,0.80S,110.09E
1882-03-01,25.932,0.736,Pontianak,Indonesia,0.80S,110.09E
1882-04-01,25.939,0.535,Pontianak,Indonesia,0.80S,110.09E
1882-05-01,26.085,0.486,Pontianak,Indonesia,0.80S,110.09E
1882-06-01,26.058000000000003,0.42100000000000004,Pontianak,Indonesia,0.80S,110.09E
1882-07-01,26.119,0.5379999999999999,Pontianak,Indonesia,0.80S,110.09E
1882-08-01,26.154,0.632,Pontianak,Indonesia,0.80S,110.09E
1882-09-01,26.204,0.47200000000000003,Pontianak,Indonesia,0.80S,110.09E
1882-10-01,25.517,0.408,Pontianak,Indonesia,0.80S,110.09E
1882-11-01,25.299,0.802,Pontianak,Indonesia,0.80S,110.09E
1882-12-01,25.414,0.9,Pontianak,Indonesia,0.80S,110.09E
1883-01-01,25.948,0.556,Pontianak,Indonesia,0.80S,110.09E
1883-02-01,25.625999999999998,1.365,Pontianak,Indonesia,0.80S,110.09E
1883-03-01,26.293000000000003,0.848,Pontianak,Indonesia,0.80S,110.09E
1883-04-01,25.73,0.43799999999999994,Pontianak,Indonesia,0.80S,110.09E
1883-05-01,26.201,0.43,Pontianak,Indonesia,0.80S,110.09E
1883-06-01,26.521,0.475,Pontianak,Indonesia,0.80S,110.09E
1883-07-01,26.573,0.5529999999999999,Pontianak,Indonesia,0.80S,110.09E
1883-08-01,26.38,0.517,Pontianak,Indonesia,0.80S,110.09E
1883-09-01,26.151999999999997,0.45,Pontianak,Indonesia,0.80S,110.09E
1883-10-01,25.496,0.772,Pontianak,Indonesia,0.80S,110.09E
1883-11-01,25.378,0.544,Pontianak,Indonesia,0.80S,110.09E
1883-12-01,25.026,0.7090000000000001,Pontianak,Indonesia,0.80S,110.09E
1884-01-01,25.004,1.2930000000000001,Pontianak,Indonesia,0.80S,110.09E
1884-02-01,25.575,0.607,Pontianak,Indonesia,0.80S,110.09E
1884-03-01,25.614,0.8959999999999999,Pontianak,Indonesia,0.80S,110.09E
1884-04-01,25.528000000000002,0.7559999999999999,Pontianak,Indonesia,0.80S,110.09E
1884-05-01,25.880000000000006,0.45299999999999996,Pontianak,Indonesia,0.80S,110.09E
1884-06-01,25.883000000000003,0.7959999999999999,Pontianak,Indonesia,0.80S,110.09E
1884-07-01,25.711,0.586,Pontianak,Indonesia,0.80S,110.09E
1884-08-01,26.054,0.748,Pontianak,Indonesia,0.80S,110.09E
1884-09-01,25.837000000000003,0.47,Pontianak,Indonesia,0.80S,110.09E
1884-10-01,25.644,0.649,Pontianak,Indonesia,0.80S,110.09E
1884-11-01,25.561,0.611,Pontianak,Indonesia,0.80S,110.09E
1884-12-01,25.082,0.825,Pontianak,Indonesia,0.80S,110.09E
1885-01-01,25.763,1.574,Pontianak,Indonesia,0.80S,110.09E
1885-02-01,25.59,1.032,Pontianak,Indonesia,0.80S,110.09E
1885-03-01,25.85,0.5660000000000001,Pontianak,Indonesia,0.80S,110.09E
1885-04-01,26.125,0.57,Pontianak,Indonesia,0.80S,110.09E
1885-05-01,26.299,0.718,Pontianak,Indonesia,0.80S,110.09E
1885-06-01,25.976,0.525,Pontianak,Indonesia,0.80S,110.09E
1885-07-01,26.168000000000006,0.573,Pontianak,Indonesia,0.80S,110.09E
1885-08-01,26.401999999999997,0.721,Pontianak,Indonesia,0.80S,110.09E
1885-09-01,26.165000000000006,0.696,Pontianak,Indonesia,0.80S,110.09E
1885-10-01,26.326999999999998,0.634,Pontianak,Indonesia,0.80S,110.09E
1885-11-01,25.56,0.66,Pontianak,Indonesia,0.80S,110.09E
1885-12-01,25.38,0.963,Pontianak,Indonesia,0.80S,110.09E
1886-01-01,25.469,0.878,Pontianak,Indonesia,0.80S,110.09E
1886-02-01,25.478,0.845,Pontianak,Indonesia,0.80S,110.09E
1886-03-01,25.665,0.521,Pontianak,Indonesia,0.80S,110.09E
1886-04-01,25.634,0.509,Pontianak,Indonesia,0.80S,110.09E
1886-05-01,26.219,0.546,Pontianak,Indonesia,0.80S,110.09E
1886-06-01,26.346999999999998,0.598,Pontianak,Indonesia,0.80S,110.09E
1886-07-01,26.499,0.741,Pontianak,Indonesia,0.80S,110.09E
1886-08-01,26.435,0.396,Pontianak,Indonesia,0.80S,110.09E
1886-09-01,26.445999999999998,0.292,Pontianak,Indonesia,0.80S,110.09E
1886-10-01,26.144,0.715,Pontianak,Indonesia,0.80S,110.09E
1886-11-01,25.419,0.826,Pontianak,Indonesia,0.80S,110.09E
1886-12-01,25.246,0.948,Pontianak,Indonesia,0.80S,110.09E
1887-01-01,25.118000000000002,0.833,Pontianak,Indonesia,0.80S,110.09E
1887-02-01,25.099,0.929,Pontianak,Indonesia,0.80S,110.09E
1887-03-01,25.224,0.7829999999999999,Pontianak,Indonesia,0.80S,110.09E
1887-04-01,25.189,0.687,Pontianak,Indonesia,0.80S,110.09E
1887-05-01,25.77,0.7,Pontianak,Indonesia,0.80S,110.09E
1887-06-01,25.388,0.879,Pontianak,Indonesia,0.80S,110.09E
1887-07-01,25.930999999999997,0.723,Pontianak,Indonesia,0.80S,110.09E
1887-08-01,25.819000000000003,0.523,Pontianak,Indonesia,0.80S,110.09E
1887-09-01,25.769,0.632,Pontianak,Indonesia,0.80S,110.09E
1887-10-01,25.493,0.429,Pontianak,Indonesia,0.80S,110.09E
1887-11-01,25.151,0.665,Pontianak,Indonesia,0.80S,110.09E
1887-12-01,24.932,0.509,Pontianak,Indonesia,0.80S,110.09E
1888-01-01,24.838,0.873,Pontianak,Indonesia,0.80S,110.09E
1888-02-01,25.482,0.917,Pontianak,Indonesia,0.80S,110.09E
1888-03-01,25.843000000000004,0.8059999999999999,Pontianak,Indonesia,0.80S,110.09E
1888-04-01,26.048,0.5379999999999999,Pontianak,Indonesia,0.80S,110.09E
1888-05-01,26.414,0.59,Pontianak,Indonesia,0.80S,110.09E
1888-06-01,26.491999999999997,0.602,Pontianak,Indonesia,0.80S,110.09E
1888-07-01,26.219,0.66,Pontianak,Indonesia,0.80S,110.09E
1888-08-01,26.51,0.758,Pontianak,Indonesia,0.80S,110.09E
1888-09-01,26.188,0.748,Pontianak,Indonesia,0.80S,110.09E
1888-10-01,26.394,0.7559999999999999,Pontianak,Indonesia,0.80S,110.09E
1888-11-01,26.136999999999997,0.426,Pontianak,Indonesia,0.80S,110.09E
1888-12-01,25.894000000000002,0.753,Pontianak,Indonesia,0.80S,110.09E
1889-01-01,26.433000000000003,0.563,Pontianak,Indonesia,0.80S,110.09E
1889-02-01,26.356,0.5,Pontianak,Indonesia,0.80S,110.09E
1889-03-01,26.329,0.591,Pontianak,Indonesia,0.80S,110.09E
1889-04-01,26.837,0.444,Pontianak,Indonesia,0.80S,110.09E
1889-05-01,27.127,0.517,Pontianak,Indonesia,0.80S,110.09E
1889-06-01,26.586,0.589,Pontianak,Indonesia,0.80S,110.09E
1889-07-01,26.031,0.647,Pontianak,Indonesia,0.80S,110.09E
1889-08-01,26.459,0.74,Pontianak,Indonesia,0.80S,110.09E
1889-09-01,26.252,0.597,Pontianak,Indonesia,0.80S,110.09E
1889-10-01,25.91,0.6409999999999999,Pontianak,Indonesia,0.80S,110.09E
1889-11-01,25.498,0.69,Pontianak,Indonesia,0.80S,110.09E
1889-12-01,25.61,0.8440000000000001,Pontianak,Indonesia,0.80S,110.09E
1890-01-01,25.955,0.644,Pontianak,Indonesia,0.80S,110.09E
1890-02-01,25.754,0.929,Pontianak,Indonesia,0.80S,110.09E
1890-03-01,25.807,0.85,Pontianak,Indonesia,0.80S,110.09E
1890-04-01,25.734,0.762,Pontianak,Indonesia,0.80S,110.09E
1890-05-01,25.941999999999997,0.767,Pontianak,Indonesia,0.80S,110.09E
1890-06-01,25.807,0.537,Pontianak,Indonesia,0.80S,110.09E
1890-07-01,25.83,0.799,Pontianak,Indonesia,0.80S,110.09E
1890-08-01,25.627,0.518,Pontianak,Indonesia,0.80S,110.09E
1890-09-01,25.736,0.632,Pontianak,Indonesia,0.80S,110.09E
1890-10-01,25.226,0.371,Pontianak,Indonesia,0.80S,110.09E
1890-11-01,24.941999999999997,0.496,Pontianak,Indonesia,0.80S,110.09E
1890-12-01,25.204,0.5329999999999999,Pontianak,Indonesia,0.80S,110.09E
1891-01-01,25.556,0.812,Pontianak,Indonesia,0.80S,110.09E
1891-02-01,25.544,0.62,Pontianak,Indonesia,0.80S,110.09E
1891-03-01,25.508000000000003,0.444,Pontianak,Indonesia,0.80S,110.09E
1891-04-01,25.836,0.562,Pontianak,Indonesia,0.80S,110.09E
