.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1950-07-01,4.127,0.431,Puerto Montt,Chile,40.99S,72.43W
1950-08-01,4.0600000000000005,0.505,Puerto Montt,Chile,40.99S,72.43W
1950-09-01,4.995,0.585,Puerto Montt,Chile,40.99S,72.43W
1950-10-01,7.247999999999999,0.205,Puerto Montt,Chile,40.99S,72.43W
1950-11-01,9.339,0.7140000000000001,Puerto Montt,Chile,40.99S,72.43W
1950-12-01,11.610999999999999,0.32,Puerto Montt,Chile,40.99S,72.43W
1951-01-01,13.065999999999999,0.5720000000000001,Puerto Montt,Chile,40.99S,72.43W
1951-02-01,11.988,0.6779999999999999,Puerto Montt,Chile,40.99S,72.43W
1951-03-01,10.684,0.593,Puerto Montt,Chile,40.99S,72.43W
1951-04-01,8.857000000000003,0.9279999999999999,Puerto Montt,Chile,40.99S,72.43W
1951-05-01,7.504,0.256,Puerto Montt,Chile,40.99S,72.43W
1951-06-01,4.753,0.7490000000000001,Puerto Montt,Chile,40.99S,72.43W
1951-07-01,4.307,0.38,Puerto Montt,Chile,40.99S,72.43W
1951-08-01,5.452999999999999,0.44299999999999995,Puerto Montt,Chile,40.99S,72.43W
1951-09-01,4.833,0.5660000000000001,Puerto Montt,Chile,40.99S,72.43W
1951-10-01,7.624,0.311,Puerto Montt,Chile,40.99S,72.43W
1951-11-01,9.316,0.5820000000000001,Puerto Montt,Chile,40.99S,72.43W
1951-12-01,13.737,0.7959999999999999,Puerto Montt,Chile,40.99S,72.43W
1952-01-01,14.972000000000001,1.052,Puerto Montt,Chile,40.99S,72.43W
1952-02-01,14.611,0.457,Puerto Montt,Chile,40.99S,72.43W
1952-03-01,10.645,0.565,Puerto Montt,Chile,40.99S,72.43W
1952-04-01,9.577000000000002,0.436,Puerto Montt,Chile,40.99S,72.43W
1952-05-01,6.59,0.3,Puerto Montt,Chile,40.99S,72.43W
1952-06-01,3.248,0.649,Puerto Montt,Chile,40.99S,72.43W
1952-07-01,4.457999999999998,0.8340000000000001,Puerto Montt,Chile,40.99S,72.43W
1952-08-01,4.018000000000002,0.599,Puerto Montt,Chile,40.99S,72.43W
1952-09-01,7.055,0.603,Puerto Montt,Chile,40.99S,72.43W
1952-10-01,8.455,0.25,Puerto Montt,Chile,40.99S,72.43W
1952-11-01,11.270999999999999,0.602,Puerto Montt,Chile,40.99S,72.43W
1952-12-01,13.828,0.995,Puerto Montt,Chile,40.99S,72.43W
1953-01-01,13.405,0.494,Puerto Montt,Chile,40.99S,72.43W
1953-02-01,14.619000000000002,0.306,Puerto Montt,Chile,40.99S,72.43W
1953-03-01,11.32,0.29,Puerto Montt,Chile,40.99S,72.43W
1953-04-01,8.807,0.466,Puerto Montt,Chile,40.99S,72.43W
