0000003,2.0,Surat,India,21.70N,73.56E
1805-10-01,25.33,2.048,Surat,India,21.70N,73.56E
1805-11-01,23.154,2.708,Surat,India,21.70N,73.56E
1805-12-01,21.331999999999997,1.469,Surat,India,21.70N,73.56E
1806-01-01,20.279,1.8659999999999999,Surat,India,21.70N,73.56E
1806-02-01,22.413,2.411,Surat,India,21.70N,73.56E
1806-03-01,26.465999999999998,1.972,Surat,India,21.70N,73.56E
1806-04-01,30.366,2.728,Surat,India,21.70N,73.56E
1806-05-01,32.245999999999995,1.734,Surat,India,21.70N,73.56E
1806-06-01,29.691,1.791,Surat,India,21.70N,73.56E
1806-07-01,28.124000000000002,1.5530000000000002,Surat,India,21.70N,73.56E
1806-08-01,27.849,1.671,Surat,India,21.70N,73.56E
1806-09-01,28.343000000000004,1.9269999999999998,Surat,India,21.70N,73.56E
1806-10-01,26.253,1.496,Surat,India,21.70N,73.56E
1806-11-01,23.656999999999996,1.89,Surat,India,21.70N,73.56E
1806-12-01,20.910999999999998,2.056,Surat,India,21.70N,73.56E
1807-01-01,19.154,2.296,Surat,India,21.70N,73.56E
1807-02-01,22.201,2.971,Surat,India,21.70N,73.56E
1807-03-01,,,Surat,India,21.70N,73.56E
1807-04-01,,,Surat,India,21.70N,73.56E
1807-05-01,30.145,1.68,Surat,India,21.70N,73.56E
1807-06-01,31.171999999999997,1.5490000000000002,Surat,India,21.70N,73.56E
1807-07-01,28.755,2.0909999999999997,Surat,India,21.70N,73.56E
1807-08-01,27.405,1.8419999999999999,Surat,India,21.70N,73.56E
1807-09-01,27.96,1.5819999999999999,Surat,India,21.70N,73.56E
1807-10-01,26.093000000000004,1.4240000000000002,Surat,India,21.70N,73.56E
1807-11-01,23.587,2.2030000000000003,Surat,India,21.70N,73.56E
1807-12-01,21.551,1.695,Surat,India,21.70N,73.56E
1808-01-01,,,Surat,India,21.70N,73.56E
1808-02-01,,,Surat,India,21.70N,73.56E
1808-03-01,,,Surat,India,21.70N,73.56E
1808-04-01,,,Surat,India,21.70N,73.56E
1808-05-01,,,Surat,India,21.70N,73.56E
1808-06-01,,,Surat,India,21.70N,73.56E
1808-07-01,,,Surat,India,21.70N,73.56E
1808-08-01,,,Surat,India,21.70N,73.56E
1808-09-01,,,Surat,India,21.70N,73.56E
1808-10-01,,,Surat,India,21.70N,73.56E
1808-11-01,,,Surat,India,21.70N,73.56E
1808-12-01,,,Surat,India,21.70N,73.56E
1809-01-01,,,Surat,India,21.70N,73.56E
1809-02-01,,,Surat,India,21.70N,73.56E
1809-03-01,,,Surat,India,21.70N,73.56E
1809-04-01,,,Surat,India,21.70N,73.56E
1809-05-01,,,Surat,India,21.70N,73.56E
1809-06-01,,,Surat,India,21.70N,73.56E
1809-07-01,,,Surat,India,21.70N,73.56E
1809-08-01,,,Surat,India,21.70N,73.56E
1809-09-01,,,Surat,India,21.70N,73.56E
1809-10-01,,,Surat,India,21.70N,73.56E
1809-11-01,,,Surat,India,21.70N,73.56E
1809-12-01,,,Surat,India,21.70N,73.56E
1810-01-01,,,Surat,India,21.70N,73.56E
1810-02-01,,,Surat,India,21.70N,73.56E
1810-03-01,,,Surat,India,21.70N,73.56E
1810-04-01,,,Surat,India,21.70N,73.56E
1810-05-01,,,Surat,India,21.70N,73.56E
1810-06-01,,,Surat,India,21.70N,73.56E
1810-07-01,,,Surat,India,21.70N,73.56E
1810-08-01,,,Surat,India,21.70N,73.56E
1810-09-01,,,Surat,India,21.70N,73.56E
1810-10-01,,,Surat,India,21.70N,73.56E
1810-11-01,,,Surat,India,21.70N,73.56E
1810-12-01,,,Surat,India,21.70N,73.56E
1811-01-01,,,Surat,India,21.70N,73.56E
1811-02-01,,,Surat,India,21.70N,73.56E
1811-03-01,,,Surat,India,21.70N,73.56E
1811-04-01,,,Surat,India,21.70N,73.56E
1811-05-01,,,Surat,India,21.70N,73.56E
1811-06-01,,,Surat,India,21.70N,73.56E
1811-07-01,,,Surat,India,21.70N,73.56E
1811-08-01,,,Surat,India,21.70N,73.56E
1811-09-01,,,Surat,India,21.70N,73.56E
1811-10-01,,,Surat,India,21.70N,73.56E
1811-11-01,,,Surat,India,21.70N,73.56E
1811-12-01,,,Surat,India,21.70N,73.56E
1812-01-01,,,Surat,India,21.70N,73.56E
1812-02-01,,,Surat,India,21.70N,73.56E
1812-03-01,,,Surat,India,21.70N,73.56E
1812-04-01,,,Surat,India,21.70N,73.56E
1812-05-01,,,Surat,India,21.70N,73.56E
1812-06-01,,,Surat,India,21.70N,73.56E
1812-07-01,,,Surat,India,21.70N,73.56E
1812-08-01,,,Surat,India,21.70N,73.56E
1812-09-01,,,Surat,India,21.70N,73.56E
1812-10-01,,,Surat,India,21.70N,73.56E
1812-11-01,,,Surat,India,21.70N,73.56E
1812-12-01,,,Surat,India,21.70N,73.56E
1813-01-01,17.647000000000006,2.911,Surat,India,21.70N,73.56E
1813-02-01,21.934,1.5919999999999999,Surat,India,21.70N,73.56E
1813-03-01,24.846999999999998,5.371,Surat,India,21.70N,73.56E
1813-04-01,30.901999999999997,1.5490000000000002,Surat,India,21.70N,73.56E
1813-05-01,32.814,4.606,Surat,India,21.70N,73.56E
1813-06-01,29.973000000000003,2.331,Surat,India,21.70N,73.56E
1813-07-01,28.018,1.777,Surat,India,21.70N,73.56E
1813-08-01,26.266,1.25,Surat,India,21.70N,73.56E
1813-09-01,27.273000000000003,1.74,Surat,India,21.70N,73.56E
1813-10-01,25.701999999999998,1.484,Surat,India,21.70N,73.56E
1813-11-01,24.3,1.671,Surat,India,21.70N,73.56E
1813-12-01,19.065,1.785,Surat,India,21.70N,73.56E
1814-01-01,18.633000000000006,2.947,Surat,India,21.70N,73.56E
1814-02-01,21.989,1.4809999999999999,Surat,India,21.70N,73.56E
1814-03-01,25.662000000000006,2.039,Surat,India,21.70N,73.56E
1814-04-01,29.528,1.59,Surat,India,21.70N,73.56E
1814-05-01,,,Surat,India,21.70N,73.56E
1814-06-01,30.563000000000002,1.81,Surat,India,21.70N,73.56E
1814-07-01,26.649,2.7319999999999998,Surat,India,21.70N,73.56E
1814-08-01,26.281999999999996,1.52,Surat,India,21.70N,73.56E
1814-09-01,26.076,1.3840000000000001,Surat,India,21.70N,73.56E
1814-10-01,25.0,3.2039999999999997,Surat,India,21.70N,73.56E
1814-11-01,24.228,4.435,Surat,India,21.70N,73.56E
1814-12-01,21.834,4.827,Surat,India,21.70N,73.56E
1815-01-01,19.107,2.373,Surat,India,21.70N,73.56E
1815-02-01,22.546999999999997,4.553,Surat,India,21.70N,73.56E
1815-03-01,25.656999999999996,3.159,Surat,India,21.70N,73.56E
1815-04-01,30.323,2.8739999999999997,Surat,India,21.70N,73.56E
1815-05-01,31.501,3.1039999999999996,Surat,India,21.70N,73.56E
1815-06-01,28.162,1.756,Surat,India,21.70N,73.56E
1815-07-01,27.461,2.603,Surat,India,21.70N,73.56E
1815-08-01,26.537,1.651,Surat,India,21.70N,73.56E
1815-09-01,26.646,1.389,Surat,India,21.70N,73.56E
1815-10-01,24.538,2.7260000000000004,Surat,India,21.70N,73.56E
1815-11-01,22.078000000000003,2.194,Surat,India,21.70N,73.56E
1815-12-01,18.616,2.066,Surat,India,21.70N,73.56E
1816-01-01,19.572000000000006,4.137,Surat,India,21.70N,73.56E
1816-02-01,19.639,2.122,Surat,India,21.70N,73.56E
1816-03-01,25.593000000000004,1.867,Surat,India,21.70N,73.56E
1816-04-01,29.299,3.511,Surat,India,21.70N,73.56E
1816-05-01,31.732,1.979,Surat,India,21.70N,73.56E
1816-06-01,29.612,2.059,Surat,India,21.70N,73.56E
1816-07-01,26.111,1.722,Surat,India,21.70N,73.56E
1816-08-01,25.774,1.1540000000000001,Surat,India,21.70N,73.56E
1816-09-01,25.541,1.2,Surat,India,21.70N,73.56E
1816-10-01,23.744,4.986000000000001,Surat,India,21.70N,73.56E
1816-11-01,22.29,5.7379999999999995,Surat,India,21.70N,73.56E
1816-12-01,19.08,1.755,Surat,India,21.70N,73.56E
1817-01-01,19.032,4.071000000000001,Surat,India,21.70N,73.56E
1817-02-01,22.509,2.55,Surat,India,21.70N,73.56E
1817-03-01,26.253,1.989,Surat,India,21.70N,73.56E
1817-04-01,29.971,1.9280000000000002,Surat,India,21.70N,73.56E
1817-05-01,30.608,2.095,Surat,India,21.70N,73.56E
1817-06-01,28.766,1.7480000000000002,Surat,India,21.70N,73.56E
1817-07-01,26.679000000000002,1.757,Surat,India,21.70N,73.56E
1817-08-01,26.741,1.683,Surat,India,21.70N,73.56E
1817-09-01,24.678,2.324,Surat,India,21.70N,73.56E
1817-10-01,24.223000000000006,2.502,Surat,India,21.70N,73.56E
1817-11-01,22.496,2.276,Surat,India,21.70N,73.56E
1817-12-01,18.628,2.7710000000000004,Surat,India,21.70N,73.56E
1818-01-01,19.282,3.032,Surat,India,21.70N,73.56E
1818-02-01,21.33,2.031,Surat,India,21.70N,73.56E
1818-03-01,26.83,1.879,Surat,India,21.70N,73.56E
1818-04-01,31.113000000000003,4.696000000000001,Surat,India,21.70N,73.56E
1818-05-01,32.392,2.775,Surat,India,21.70N,73.56E
1818-06-01,30.794,3.58,Surat,India,21.70N,73.56E
1818-07-01,26.506,2.867,Surat,India,21.70N,73.56E
1818-08-01,25.701,1.8359999999999999,Surat,India,21.70N,73.56E
1818-09-01,25.796999999999997,1.798,Surat,India,21.70N,73.56E
