000004,0.779,Susah,Tunisia,36.17N,9.94E
1919-10-01,18.875,0.675,Susah,Tunisia,36.17N,9.94E
1919-11-01,15.856,0.9,Susah,Tunisia,36.17N,9.94E
1919-12-01,10.382,0.43799999999999994,Susah,Tunisia,36.17N,9.94E
1920-01-01,10.798,0.731,Susah,Tunisia,36.17N,9.94E
1920-02-01,11.662,0.55,Susah,Tunisia,36.17N,9.94E
1920-03-01,13.027,0.9309999999999999,Susah,Tunisia,36.17N,9.94E
1920-04-01,16.476,0.664,Susah,Tunisia,36.17N,9.94E
1920-05-01,21.265,0.982,Susah,Tunisia,36.17N,9.94E
1920-06-01,24.658,0.5720000000000001,Susah,Tunisia,36.17N,9.94E
1920-07-01,27.968000000000004,1.155,Susah,Tunisia,36.17N,9.94E
1920-08-01,27.835,0.466,Susah,Tunisia,36.17N,9.94E
1920-09-01,24.496,0.7020000000000001,Susah,Tunisia,36.17N,9.94E
1920-10-01,20.578000000000003,0.6559999999999999,Susah,Tunisia,36.17N,9.94E
1920-11-01,14.944,0.583,Susah,Tunisia,36.17N,9.94E
1920-12-01,11.393,0.61,Susah,Tunisia,36.17N,9.94E
1921-01-01,10.897,0.601,Susah,Tunisia,36.17N,9.94E
1921-02-01,11.72,0.565,Susah,Tunisia,36.17N,9.94E
1921-03-01,13.015999999999998,0.696,Susah,Tunisia,36.17N,9.94E
1921-04-01,14.767000000000001,0.637,Susah,Tunisia,36.17N,9.94E
1921-05-01,20.177,0.276,Susah,Tunisia,36.17N,9.94E
1921-06-01,24.004,0.9109999999999999,Susah,Tunisia,36.17N,9.94E
1921-07-01,28.442,1.137,Susah,Tunisia,36.17N,9.94E
1921-08-01,27.666,1.2329999999999999,Susah,Tunisia,36.17N,9.94E
1921-09-01,26.304,1.088,Susah,Tunisia,36.17N,9.94E
1921-10-01,20.285999999999998,1.463,Susah,Tunisia,36.17N,9.94E
1921-11-01,14.89,0.8220000000000001,Susah,Tunisia,36.17N,9.94E
1921-12-01,11.145,1.156,Susah,Tunisia,36.17N,9.94E
1922-01-01,10.088,1.296,Susah,Tunisia,36.17N,9.94E
1922-02-01,12.015999999999998,1.2570000000000001,Susah,Tunisia,36.17N,9.94E
1922-03-01,15.248,1.131,Susah,Tunisia,36.17N,9.94E
1922-04-01,17.352,0.747,Susah,Tunisia,36.17N,9.94E
1922-05-01,20.773000000000003,0.727,Susah,Tunisia,36.17N,9.94E
1922-06-01,25.459,0.325,Susah,Tunisia,36.17N,9.94E
1922-07-01,27.536,0.613,Susah,Tunisia,36.17N,9.94E
1922-08-01,28.974,0.8029999999999999,Susah,Tunisia,36.17N,9.94E
1922-09-01,23.779,0.5,Susah,Tunisia,36.17N,9.94E
1922-10-01,20.848000000000003,0.929,Susah,Tunisia,36.17N,9.94E
1922-11-01,14.387,0.9940000000000001,Susah,Tunisia,36.17N,9.94E
1922-12-01,10.4,0.467,Susah,Tunisia,36.17N,9.94E
1923-01-01,8.279,0.556,Susah,Tunisia,36.17N,9.94E
1923-02-01,11.182,0.64,Susah,Tunisia,36.17N,9.94E
1923-03-01,12.418,0.5429999999999999,Susah,Tunisia,36.17N,9.94E
1923-04-01,15.584000000000001,0.336,Susah,Tunisia,36.17N,9.94E
1923-05-01,19.76,0.431,Susah,Tunisia,36.17N,9.94E
1923-06-01,21.419,1.167,Susah,Tunisia,36.17N,9.94E
1923-07-01,27.458000000000002,0.653,Susah,Tunisia,36.17N,9.94E
1923-08-01,27.643,0.546,Susah,Tunisia,36.17N,9.94E
