,25.934,0.20600000000000002,Teresina,Brazil,5.63S,43.59W
1981-04-01,26.13,0.24600000000000002,Teresina,Brazil,5.63S,43.59W
1981-05-01,26.226000000000006,0.932,Teresina,Brazil,5.63S,43.59W
1981-06-01,26.354,0.387,Teresina,Brazil,5.63S,43.59W
1981-07-01,26.496,0.8170000000000001,Teresina,Brazil,5.63S,43.59W
1981-08-01,27.491999999999997,2.263,Teresina,Brazil,5.63S,43.59W
1981-09-01,28.912,0.593,Teresina,Brazil,5.63S,43.59W
1981-10-01,28.644000000000002,0.348,Teresina,Brazil,5.63S,43.59W
1981-11-01,28.585,0.446,Teresina,Brazil,5.63S,43.59W
1981-12-01,27.747,0.473,Teresina,Brazil,5.63S,43.59W
1982-01-01,26.185,0.222,Teresina,Brazil,5.63S,43.59W
1982-02-01,25.634,0.195,Teresina,Brazil,5.63S,43.59W
1982-03-01,25.958000000000002,0.191,Teresina,Brazil,5.63S,43.59W
1982-04-01,25.899,0.162,Teresina,Brazil,5.63S,43.59W
1982-05-01,26.426,0.439,Teresina,Brazil,5.63S,43.59W
1982-06-01,26.448,0.491,Teresina,Brazil,5.63S,43.59W
1982-07-01,26.736,0.247,Teresina,Brazil,5.63S,43.59W
1982-08-01,27.773000000000003,0.9229999999999999,Teresina,Brazil,5.63S,43.59W
1982-09-01,28.731,0.645,Teresina,Brazil,5.63S,43.59W
1982-10-01,28.783,1.158,Teresina,Brazil,5.63S,43.59W
1982-11-01,28.936999999999998,0.484,Teresina,Brazil,5.63S,43.59W
1982-12-01,28.46,0.535,Teresina,Brazil,5.63S,43.59W
1983-01-01,27.61,0.354,Teresina,Brazil,5.63S,43.59W
1983-02-01,26.465,0.287,Teresina,Brazil,5.63S,43.59W
1983-03-01,26.521,0.514,Teresina,Brazil,5.63S,43.59W
1983-04-01,27.274,0.545,Teresina,Brazil,5.63S,43.59W
1983-05-01,27.587,0.396,Teresina,Brazil,5.63S,43.59W
1983-06-01,27.354,0.611,Teresina,Brazil,5.63S,43.59W
1983-07-01,27.374,0.4,Teresina,Brazil,5.63S,43.59W
1983-08-01,28.535,0.5820000000000001,Teresina,Brazil,5.63S,43.59W
1983-09-01,29.448,0.376,Teresina,Brazil,5.63S,43.59W
1983-10-01,28.961,0.654,Teresina,Brazil,5.63S,43.59W
1983-11-01,28.962000000000003,0.45799999999999996,Teresina,Brazil,5.63S,43.59W
1983-12-01,27.943,0.767,Teresina,Brazil,5.63S,43.59W
1984-01-01,26.070999999999998,0.226,Teresina,Brazil,5.63S,43.59W
1984-02-01,25.831,0.442,Teresina,Brazil,5.63S,43.59W
1984-03-01,25.645,0.331,Teresina,Brazil,5.63S,43.59W
