26.159000000000002,1.598,Wuning,China,29.74N,120.00E
1885-08-01,27.158,0.988,Wuning,China,29.74N,120.00E
1885-09-01,22.269,0.8490000000000001,Wuning,China,29.74N,120.00E
1885-10-01,17.153000000000002,0.937,Wuning,China,29.74N,120.00E
1885-11-01,10.008,1.724,Wuning,China,29.74N,120.00E
1885-12-01,6.416,1.202,Wuning,China,29.74N,120.00E
1886-01-01,2.452,1.0490000000000002,Wuning,China,29.74N,120.00E
1886-02-01,1.6880000000000002,1.6769999999999998,Wuning,China,29.74N,120.00E
1886-03-01,9.106,0.7859999999999999,Wuning,China,29.74N,120.00E
1886-04-01,14.555,0.87,Wuning,China,29.74N,120.00E
1886-05-01,19.676,0.8320000000000001,Wuning,China,29.74N,120.00E
1886-06-01,22.88,1.3630000000000002,Wuning,China,29.74N,120.00E
1886-07-01,27.362,1.146,Wuning,China,29.74N,120.00E
1886-08-01,26.689,0.6809999999999999,Wuning,China,29.74N,120.00E
1886-09-01,21.764000000000006,1.505,Wuning,China,29.74N,120.00E
1886-10-01,17.852999999999998,0.894,Wuning,China,29.74N,120.00E
1886-11-01,11.268,0.94,Wuning,China,29.74N,120.00E
1886-12-01,4.96,1.319,Wuning,China,29.74N,120.00E
1887-01-01,3.1830000000000003,1.084,Wuning,China,29.74N,120.00E
1887-02-01,4.119,1.4809999999999999,Wuning,China,29.74N,120.00E
1887-03-01,9.21,1.186,Wuning,China,29.74N,120.00E
1887-04-01,15.755,2.577,Wuning,China,29.74N,120.00E
1887-05-01,19.499,0.966,Wuning,China,29.74N,120.00E
1887-06-01,23.311,1.396,Wuning,China,29.74N,120.00E
1887-07-01,27.109,0.914,Wuning,China,29.74N,120.00E
1887-08-01,27.418000000000003,1.588,Wuning,China,29.74N,120.00E
1887-09-01,23.35,0.7290000000000001,Wuning,China,29.74N,120.00E
1887-10-01,17.296,0.7759999999999999,Wuning,China,29.74N,120.00E
1887-11-01,11.305,1.158,Wuning,China,29.74N,120.00E
1887-12-01,6.127999999999999,0.946,Wuning,China,29.74N,120.00E
1888-01-01,4.394,1.166,Wuning,China,29.74N,120.00E
1888-02-01,3.035,1.9140000000000001,Wuning,China,29.74N,120.00E
1888-03-01,10.287,0.858,Wuning,China,29.74N,120.00E
1888-04-01,14.998,1.093,Wuning,China,29.74N,120.00E
1888-05-01,20.085,0.701,Wuning,China,29.74N,120.00E
1888-06-01,23.311,1.338,Wuning,China,29.74N,120.00E
1888-07-01,27.724,0.764,Wuning,China,29.74N,120.00E
1888-08-01,27.467,0.736,Wuning,China,29.74N,120.00E
1888-09-01,22.769,0.703,Wuning,China,29.74N,120.00E
1888-10-01,16.934,1.383,Wuning,China,29.74N,120.00E
1888-11-01,12.126,0.789,Wuning,China,29.74N,120.00E
1888-12-01,7.641999999999999,1.0859999999999999,Wuning,China,29.74N,120.00E
1889-01-01,1.834,1.4569999999999999,Wuning,China,29.74N,120.00E
1889-02-01,4.119,1.178,Wuning,China,29.74N,120.00E
1889-03-01,9.885,0.7959999999999999,Wuning,China,29.74N,120.00E
1889-04-01,14.549000000000001,0.9470000000000001,Wuning,China,29.74N,120.00E
1889-05-01,19.171000000000006,1.57,Wuning,China,29.74N,120.00E
1889-06-01,25.064,0.601,Wuning,China,29.74N,120.00E
1889-07-01,27.947,1.464,Wuning,China,29.74N,120.00E
1889-08-01,26.723000000000006,0.726,Wuning,China,29.74N,120.00E
1889-09-01,22.024,1.052,Wuning,China,29.74N,120.00E
1889-10-01,17.156000000000002,1.538,Wuning,China,29.74N,120.00E
1889-11-01,10.957999999999998,0.958,Wuning,China,29.74N,120.00E
1889-12-01,5.75,1.915,Wuning,China,29.74N,120.00E
1890-01-01,4.062,0.973,Wuning,China,29.74N,120.00E
1890-02-01,7.32,1.13,Wuning,China,29.74N,120.00E
1890-03-01,8.706,1.374,Wuning,China,29.74N,120.00E
1890-04-01,16.168,1.432,Wuning,China,29.74N,120.00E
1890-05-01,19.988000000000003,1.88,Wuning,China,29.74N,120.00E
1890-06-01,24.065,1.315,Wuning,China,29.74N,120.00E
